Society,Spearman,PairAccuracy,UnitSideAccuracy
Hong Kong,0.30122668294492494,0.5357142857142857,0.375
Pakistan,0.14371515142959107,0.5357142857142857,0.375
South Africa,0.261904761904762,0.5714285714285714,0.75
Saudi Arabia,0.3571428571428572,0.6071428571428571,0.875
Lebanon,0.30952380952380953,0.6071428571428571,0.625
Denmark,0.4285714285714286,0.6428571428571429,0.625
France,0.4285714285714286,0.6428571428571429,0.625
China,0.38095238095238104,0.6428571428571429,0.5
Indonesia,0.523809523809524,0.6428571428571429,0.875
Iraq,0.4790505047653036,0.6428571428571429,0.5
Syria,0.4047619047619048,0.6785714285714286,0.75
Ukraine,0.5476190476190477,0.6785714285714286,0.875
Colombia,0.5714285714285715,0.7142857142857143,0.75
Israel,0.5476190476190477,0.7142857142857143,0.625
Thailand,0.6190476190476191,0.7142857142857143,0.875
Singapore,0.6666666666666669,0.75,0.875
UK,0.7142857142857144,0.75,0.625
Russia,0.5714285714285715,0.75,0.75
Turkey,0.7619047619047621,0.7857142857142857,0.875
Sweden,0.7619047619047621,0.7857142857142857,0.75
Venezuela,0.7619047619047621,0.7857142857142857,0.875
USA,0.8095238095238096,0.7857142857142857,0.625
Japan,0.7619047619047621,0.8214285714285714,0.75
Poland,0.7380952380952381,0.8214285714285714,0.875
Netherlands,0.8333333333333335,0.8214285714285714,0.875
UAE,0.8095238095238096,0.8214285714285714,0.875
India,0.7857142857142858,0.8214285714285714,0.875
Brazil,0.8095238095238096,0.8214285714285714,0.875
Australia,0.8571428571428572,0.8571428571428571,0.875
Chile,0.8571428571428572,0.8571428571428571,1.0
Italy,0.8622909085775464,0.8571428571428571,0.75
Iran,0.7619047619047621,0.8571428571428571,0.875
Argentina,0.9047619047619048,0.8928571428571429,1.0
Canada,0.9047619047619048,0.8928571428571429,0.875
Norway,0.9523809523809524,0.9285714285714286,1.0
Germany,0.9523809523809524,0.9285714285714286,0.875
