Nation,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
China,1900,Executive,4,5,-2,3,11.5,10.8
China,1900,Army,3,4,-1,2,9,8.4
China,1900,Priests,6,4,-3,4,13,12
China,1900,Property Owners,5,6,-2,3.5,13.8,12.6
China,1900,Trades/Professions,4,5,-1,3,11.5,10.8
China,1900,Proletariat,3,6,2,1,8.5,7.2
China,1900,State Memory,7,3,-4,5,13.5,14.4
China,1900,Shopkeepers/Merchants,5,5,-1,3,12,10.8
China,1901,Executive,3,4,-1,2,9,8.4
China,1901,Army,4,5,-2,3,11.5,10.8
China,1901,Priests,5,3,-2,3,10.5,9.6
China,1901,Property Owners,4,5,-1,2.5,11.3,10.2
China,1901,Trades/Professions,3,4,0,2,8,7.2
China,1901,Proletariat,2,5,3,1,6.5,6
China,1901,State Memory,6,2,-3,4,11,12
China,1901,Shopkeepers/Merchants,4,4,0,2,8,7.2
China,1902,Executive,2,3,0,1,5.5,4.8
China,1902,Army,5,6,-3,4,14,13.2
China,1902,Priests,4,2,-1,2,8,7.2
China,1902,Property Owners,3,4,0,2,8,7.2
China,1902,Trades/Professions,2,3,1,1,5.5,4.8
China,1902,Proletariat,1,4,4,1,3.5,4.8
China,1902,State Memory,5,1,-2,3,8.5,9.6
China,1902,Shopkeepers/Merchants,3,3,1,1,5.5,4.8
China,1903,Executive,3,4,-1,2,9,8.4
China,1903,Army,4,5,-2,3,11.5,10.8
China,1903,Priests,5,3,-2,3,10.5,9.6
China,1903,Property Owners,4,5,-1,2.5,11.3,10.2
China,1903,Trades/Professions,3,4,0,2,8,7.2
China,1903,Proletariat,2,5,3,1,6.5,6
China,1903,State Memory,6,2,-3,4,11,12
China,1903,Shopkeepers/Merchants,4,4,0,2,8,7.2
China,1904,Executive,4,5,-2,3,11.5,10.8
China,1904,Army,3,4,-1,2,9,8.4
China,1904,Priests,6,4,-3,4,13,12
China,1904,Property Owners,5,6,-2,3.5,13.8,12.6
China,1904,Trades/Professions,4,5,-1,3,11.5,10.8
China,1904,Proletariat,3,6,2,1,8.5,7.2
China,1904,State Memory,7,3,-4,5,13.5,14.4
China,1904,Shopkeepers/Merchants,5,5,-1,3,12,10.8
China,1905,Executive,5,6,-3,4,15,14.4
China,1905,Army,2,3,0,1,5.5,4.8
China,1905,Priests,7,5,-4,5,15.5,16.8
China,1905,Property Owners,6,7,-3,4.5,17.3,16.2
China,1905,Trades/Professions,5,6,-2,4,15,14.4
