Company,Year,Node,C,K,S,A,Node_Value,Bond_Strength
Markercxnxa,2010,Helm,7,7,4,6,8.67,5.38
Markercxnxa,2010,Shield,6,7,3,5,8.00,4.96
Markercxnxa,2010,Lore,6,6,3,5,7.50,4.65
Markercxnxa,2010,Stewards,7,7,4,5,8.17,5.07
Markercxnxa,2010,Craft,8,8,5,4,8.33,5.17
Markercxnxa,2010,Hands,7,7,5,3,6.83,4.24
Markercxnxa,2010,Archive,6,8,2,4,8.33,5.17
Markercxnxa,2010,Flow,8,9,4,3,8.67,5.38
Markercxnxa,2011,Helm,6,7,6,5,7.00,4.88
Markercxnxa,2011,Shield,6,6,7,4,5.67,3.95
Markercxnxa,2011,Lore,5,7,5,4,6.33,4.41
Markercxnxa,2011,Stewards,6,7,5,5,6.83,4.76
Markercxnxa,2011,Craft,8,8,6,3,7.50,5.23
Markercxnxa,2011,Hands,8,8,5,2,7.33,5.11
Markercxnxa,2011,Archive,5,7,4,3,6.17,4.30
Markercxnxa,2011,Flow,7,9,7,3,6.67,4.65
Markercxnxa,2012,Helm,6,7,5,5,7.33,4.89
Markercxnxa,2012,Shield,7,7,4,5,7.67,5.11
Markercxnxa,2012,Lore,6,7,4,4,7.17,4.78
Markercxnxa,2012,Stewards,7,6,5,5,7.33,4.89
Markercxnxa,2012,Craft,8,8,4,3,7.67,5.11
Markercxnxa,2012,Hands,8,8,4,2,7.67,5.11
Markercxnxa,2012,Archive,6,7,3,4,7.50,5.00
Markercxnxa,2012,Flow,8,8,4,4,7.67,5.11
Markercxnxa,2013,Helm,7,8,3,6,9.50,5.63
Markercxnxa,2013,Shield,7,8,3,5,9.00,5.33
Markercxnxa,2013,Lore,7,7,3,5,8.50,5.04
Markercxnxa,2013,Stewards,8,7,3,5,8.50,5.04
Markercxnxa,2013,Craft,9,9,3,3,9.50,5.63
Markercxnxa,2013,Hands,9,8,3,3,9.00,5.33
Markercxnxa,2013,Archive,6,8,2,4,8.33,4.94
Markercxnxa,2013,Flow,8,9,3,3,8.00,4.74
Markercxnxa,2014,Helm,8,8,2,6,10.33,5.92
Markercxnxa,2014,Shield,8,8,2,5,9.83,5.63
Markercxnxa,2014,Lore,7,8,2,5,9.33,5.35
Markercxnxa,2014,Stewards,8,8,2,5,9.83,5.63
Markercxnxa,2014,Craft,9,9,2,4,10.33,5.92
Markercxnxa,2014,Hands,9,9,2,3,9.83,5.63
Markercxnxa,2014,Archive,7,8,2,4,8.83,5.06
Markercxnxa,2014,Flow,9,10,2,3,10.33,5.92
Markercxnxa,2015,Helm,8,8,3,5,9.50,5.32
Markercxnxa,2015,Shield,8,8,3,4,9.00,5.04
Markercxnxa,2015,Lore,7,8,2,4,8.83,4.95
Markercxnxa,2015,Stewards,8,8,3,4,9.00,5.04
Markercxnxa,2015,Craft,9,9,3,3,9.50,5.32
Markercxnxa,2015,Hands,9,8,3,2,8.50,4.76
Markercxnxa,2015,Archive,7,8,2,3,8.33,4.67
Markercxnxa,2015,Flow,9,9,3,3,9.50,5.32
Markercxnxa,2016,Helm,6,8,7,6,7.67,5.04
Markercxnxa,2016,Shield,5,7,7,5,6.17,4.05
Markercxnxa,2016,Lore,6,7,6,5,7.00,4.60
Markercxnxa,2016,Stewards,7,8,6,5,8.00,5.26
Markercxnxa,2016,Craft,8,9,5,4,8.83,5.81
Markercxnxa,2016,Hands,8,8,5,3,7.83,5.15
Markercxnxa,2016,Archive,6,8,5,4,7.33,4.82
Markercxnxa,2016,Flow,8,9,6,3,7.50,4.93
Markercxnxa,2017,Helm,8,8,5,7,9.83,5.38
Markercxnxa,2017,Shield,7,8,5,6,8.83,4.83
Markercxnxa,2017,Lore,8,7,4,7,9.67,5.29
Markercxnxa,2017,Stewards,8,8,4,6,9.67,5.29
Markercxnxa,2017,Craft,9,9,4,4,9.67,5.29
Markercxnxa,2017,Hands,9,8,4,3,8.67,4.74
Markercxnxa,2017,Archive,7,8,3,5,8.50,4.65
Markercxnxa,2017,Flow,9,9,4,4,9.67,5.29
Markercxnxa,2018,Helm,9,9,3,7,11.00,5.49
Markercxnxa,2018,Shield,9,9,2,6,10.33,5.16
Markercxnxa,2018,Lore,8,8,2,6,10.33,5.16
Markercxnxa,2018,Stewards,9,9,2,6,10.33,5.16
Markercxnxa,2018,Craft,10,10,3,4,10.00,4.99
Markercxnxa,2018,Hands,9,9,3,3,8.50,4.24
Markercxnxa,2018,Archive,8,9,2,5,9.83,4.91
Markercxnxa,2018,Flow,10,10,3,4,10.00,4.99
Markercxnxa,2019,Helm,6,8,7,5,6.17,4.09
Markercxnxa,2019,Shield,5,8,7,4,5.67,3.76
Markercxnxa,2019,Lore,6,7,5,5,7.33,4.86
Markercxnxa,2019,Stewards,7,8,6,5,8.00,5.31
Markercxnxa,2019,Craft,9,9,4,3,9.17,6.08
Markercxnxa,2019,Hands,8,9,4,2,8.17,5.42
Markercxnxa,2019,Archive,6,8,4,4,7.67,5.09
Markercxnxa,2019,Flow,9,9,4,3,9.17,6.08
Markercxnxa,2020,Helm,7,8,8,6,7.83,5.34
Markercxnxa,2020,Shield,7,8,7,5,7.67,5.23
Markercxnxa,2020,Lore,7,7,5,5,7.83,5.34
Markercxnxa,2020,Stewards,8,8,6,5,8.50,5.80
Markercxnxa,2020,Craft,9,9,6,4,9.00,6.14
Markercxnxa,2020,Hands,9,8,6,3,8.00,5.46
Markercxnxa,2020,Archive,6,8,5,4,7.33,5.00
Markercxnxa,2020,Flow,8,9,8,3,6.83,4.66
Markercxnxa,2021,Helm,8,9,6,7,10.00,6.23
Markercxnxa,2021,Shield,6,9,8,6,8.33,5.19
Markercxnxa,2021,Lore,7,8,5,6,8.83,5.50
Markercxnxa,2021,Stewards,8,9,5,6,9.83,6.13
Markercxnxa,2021,Craft,10,10,4,4,10.67,6.65
Markercxnxa,2021,Hands,9,9,4,3,9.67,6.03
Markercxnxa,2021,Archive,7,9,4,5,9.17,5.71
Markercxnxa,2021,Flow,9,10,5,4,9.83,6.13
Markercxnxa,2022,Helm,6,9,9,6,6.50,4.40
Markercxnxa,2022,Shield,4,9,10,5,5.17,3.50
Markercxnxa,2022,Lore,6,8,7,5,7.17,4.86
Markercxnxa,2022,Stewards,7,9,8,6,7.33,4.97
Markercxnxa,2022,Craft,9,10,5,4,9.83,6.66
Markercxnxa,2022,Hands,8,9,5,3,8.33,5.64
Markercxnxa,2022,Archive,6,9,6,5,7.50,5.08
Markercxnxa,2022,Flow,8,10,6,4,9.00,6.10
Markercxnxa,2023,Helm,7,8,6,6,7.50,5.06
Markercxnxa,2023,Shield,6,8,7,5,6.67,4.50
Markercxnxa,2023,Lore,7,8,5,5,7.83,5.29
Markercxnxa,2023,Stewards,8,9,5,6,8.83,5.96
Markercxnxa,2023,Craft,10,10,4,4,10.67,7.20
Markercxnxa,2023,Hands,9,9,4,3,9.67,6.52
Markercxnxa,2023,Archive,7,9,4,5,9.17,6.19
Markercxnxa,2023,Flow,9,10,5,3,9.33,6.30
Markercxnxa,2024,Helm,7,9,6,7,9.00,5.77
Markercxnxa,2024,Shield,6,9,9,5,6.00,3.85
