Nation,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Netherlands,1750,Executive,7,6,-3,5,13.5,11.1
Netherlands,1750,Army,6,5,-2,4,11,9.8
Netherlands,1750,Priests,5,4,-1,3,9.5,8.5
Netherlands,1750,Property Owners,8,7,-4,6,14,12.3
Netherlands,1750,Trades/Professions,7,6,-3,5,13.5,11.1
Netherlands,1750,Proletariat,6,5,-2,4,11,9.8
Netherlands,1750,State Memory,5,4,-1,3,9.5,8.5
Netherlands,1750,Shopkeepers/Merchants,8,7,-4,6,14,12.3
Netherlands,1755,Executive,7.2,6.2,-2.8,5.2,14.1,11.4
Netherlands,1755,Army,6.2,5.2,-1.8,4.2,11.6,10.1
Netherlands,1755,Priests,5.2,4.2,-0.8,3.2,10.1,8.8
Netherlands,1755,Property Owners,8.2,7.2,-3.8,6.2,14.6,12.6
Netherlands,1755,Trades/Professions,7.2,6.2,-2.8,5.2,14.1,11.4
Netherlands,1755,Proletariat,6.2,5.2,-1.8,4.2,11.6,10.1
Netherlands,1755,State Memory,5.2,4.2,-0.8,3.2,10.1,8.8
Netherlands,1755,Shopkeepers/Merchants,8.2,7.2,-3.8,6.2,14.6,12.6
Netherlands,1760,Executive,7.4,6.4,-2.6,5.4,14.7,11.7
Netherlands,1760,Army,6.4,5.4,-1.6,4.4,12.2,10.4
Netherlands,1760,Priests,5.4,4.4,-0.6,3.4,10.7,9.1
Netherlands,1760,Property Owners,8.4,7.4,-3.6,6.4,15.2,12.9
Netherlands,1760,Trades/Professions,7.4,6.4,-2.6,5.4,14.7,11.7
Netherlands,1760,Proletariat,6.4,5.4,-1.6,4.4,12.2,10.4
Netherlands,1760,State Memory,5.4,4.4,-0.6,3.4,10.7,9.1
Netherlands,1760,Shopkeepers/Merchants,8.4,7.4,-3.6,6.4,15.2,12.9
Netherlands,1765,Executive,7.6,6.6,-2.4,5.6,15.3,12
Netherlands,1765,Army,6.6,5.6,-1.4,4.6,12.8,10.7
Netherlands,1765,Priests,5.6,4.6,-0.4,3.6,11.3,9.4
Netherlands,1765,Property Owners,8.6,7.6,-3.4,6.6,15.8,13.2
Netherlands,1765,Trades/Professions,7.6,6.6,-2.4,5.6,15.3,12
Netherlands,1765,Proletariat,6.6,5.6,-1.4,4.6,12.8,10.7
Netherlands,1765,State Memory,5.6,4.6,-0.4,3.6,11.3,9.4
Netherlands,1765,Shopkeepers/Merchants,8.6,7.6,-3.4,6.6,15.8,13.2
Netherlands,1770,Executive,7.8,6.8,-2.2,5.8,15.9,12.3
Netherlands,1770,Army,6.8,5.8,-1.2,4.8,13.4,11
Netherlands,1770,Priests,5.8,4.8,-0.2,3.8,11.9,9.7
Netherlands,1770,Property Owners,8.8,7.8,-3.2,6.8,16.4,13.5
Netherlands,1770,Trades/Professions,7.8,6.8,-2.2,5.8,15.9,12.3
Netherlands,1770,Proletariat,6.8,5.8,-1.2,4.8,13.4,11
Netherlands,1770,State Memory,5.8,4.8,-0.2,3.8,11.9,9.7
Netherlands,1770,Shopkeepers/Merchants,8.8,7.8,-3.2,6.8,16.4,13.5
Netherlands,1775,Executive,8,7,-2,6,16.5,12.6
Netherlands,1775,Army,7,6,-1,5,14,11.3
Netherlands,1775,Priests,6,5,0,4,12.5,10
Netherlands,1775,Property Owners,9,8,-3,7,17,13.8
Netherlands,1775,Trades/Professions,8,7,-2,6,16.5,12.6
Netherlands,1775,Proletariat,7,6,-1,5,14,11.3
Netherlands,1775,State Memory,6,5,0,4,12.5,10
Netherlands,1775,Shopkeepers/Merchants,9,8,-3,7,17,13.8
Netherlands,1780,Executive,8.2,7.2,-1.8,6.2,17.1,12.9
Netherlands,1780,Army,7.2,6.2,-0.8,5.2,14.6,11.6
Netherlands,1780,Priests,6.2,5.2,0.2,4.2,13.1,10.3
Netherlands,1780,Property Owners,9.2,8.2,-2.8,7.2,17.6,14.1
Netherlands,1780,Trades/Professions,8.2,7.2,-1.8,6.2,17.1,12.9
Netherlands,1780,Proletariat,7.2,6.2,-0.8,5.2,14.6,11.6
Netherlands,1780,State Memory,6.2,5.2,0.2,4.2,13.1,10.3
Netherlands,1780,Shopkeepers/Merchants,9.2,8.2,-2.8,7.2,17.6,14.1
Netherlands,1785,Executive,8.4,7.4,-1.6,6.4,17.7,13.2
Netherlands,1785,Army,7.4,6.4,-0.6,5.4,15.2,11.9
Netherlands,1785,Priests,6.4,5.4,0.4,4.4,13.7,10.6
Netherlands,1785,Property Owners,9.4,8.4,-2.6,7.4,18.2,14.4
Netherlands,1785,Trades/Professions,8.4,7.4,-1.6,6.4,17.7,13.2
Netherlands,1785,Proletariat,7.4,6.4,-0.6,5.4,15.2,11.9
Netherlands,1785,State Memory,6.4,5.4,0.4,4.4,13.7,10.6
Netherlands,1785,Shopkeepers/Merchants,9.4,8.4,-2.6,7.4,18.2,14.4
Netherlands,1790,Executive,8.6,7.6,-1.4,6.6,18.3,13.5
Netherlands,1790,Army,7.6,6.6,-0.4,5.6,15.8,12.2
Netherlands,1790,Priests,6.6,5.6,0.6,4.6,14.3,10.9
Netherlands,1790,Property Owners,9.6,8.6,-2.4,7.6,18.8,14.7
Netherlands,1790,Trades/Professions,8.6,7.6,-1.4,6.6,18.3,13.5
Netherlands,1790,Proletariat,7.6,6.6,-0.4,5.6,15.8,12.2
Netherlands,1790,State Memory,6.6,5.6,0.6,4.6,14.3,10.9
Netherlands,1790,Shopkeepers/Merchants,9.6,8.6,-2.4,7.6,18.8,14.7
Netherlands,1800,Executive,8.8,7.8,-1.2,6.8,18.9,13.8
Netherlands,1800,Army,7.8,6.8,-0.2,5.8,16.4,12.5
Netherlands,1800,Priests,6.8,5.8,0.8,4.8,14.9,11.2
Netherlands,1800,Property Owners,9.8,8.8,-2.2,7.8,19.4,15
Netherlands,1800,Trades/Professions,8.8,7.8,-1.2,6.8,18.9,13.8
Netherlands,1800,Proletariat,7.8,6.8,-0.2,5.8,16.4,12.5
Netherlands,1800,State Memory,6.8,5.8,0.8,4.8,14.9,11.2
Netherlands,1800,Shopkeepers/Merchants,9.8,8.8,-2.2,7.8,19.4,15
Netherlands,1805,Executive,9,8,-1,7,19.5,14.1
Netherlands,1805,Army,8,7,0,6,17,12.8
Netherlands,1805,Priests,7,6,1,5,15.5,11.5
