Society_ID,T_Offset,V_Mean_Calc,V_Min_Calc,V_Mean_Delta
Society_C,T+15,3.65,0.5,-5.686999999999999
Society_C,T+19,8.213,6.0,5.062999999999999
Society_C,T+26,10.588,8.5,1.875
Society_C,T+39,7.65,5.5,-3.0
Society_C,T+41,7.15,3.5,-0.5
Society_C,T+43,7.65,5.5,0.5
Society_C,T+54,-0.025,-3.6,-7.675000000000001
Society_C,T+59,7.213,5.0,6.063000000000001
Society_C,T+69,11.838,9.5,3.7509999999999994
Society_C,T+75,12.312,9.5,1.8490000000000002
Society_C,T+91,8.713,5.5,-3.7250000000000014
Society_C,T+99,8.088,4.8,-1.625
Society_C,T+108,12.775,10.1,5.375
Society_C,T+115,5.275,0.0,-6.625
Society_C,T+118,9.4,6.5,3.375
Society_C,T+133,7.638,5.0,-2.824
Society_C,T+135,7.888,1.5,-0.49900000000000055
Society_C,T+137,8.262,4.5,0.37400000000000055
Society_C,T+139,7.037,2.1,-1.2250000000000005
Society_C,T+146,6.7,4.9,1.0
Society_E,T+15,9.688,4.9,-1.786999999999999
Society_E,T+16,4.05,0.4,-5.638000000000001
Society_E,T+17,9.387,4.3,5.337000000000001
Society_E,T+25,10.3,2.8,-0.2370000000000001
Society_E,T+29,10.6,4.0,0.27500000000000036
Society_E,T+30,10.163,3.0,-0.4369999999999994
Society_E,T+32,8.238,-0.0,-2.112
Society_E,T+33,10.238,3.4,2.0
Society_E,T+38,10.5,4.0,0.09999999999999964
Society_E,T+39,9.525,3.9,-0.9749999999999996
Society_E,T+50,8.025,4.0,1.7380000000000004
Society_E,T+55,6.963,2.2,-3.2
Society_E,T+56,2.6,-1.8,-4.3629999999999995
Society_E,T+58,7.463,2.7,4.45
Society_E,T+61,8.988,4.0,-0.062000000000001165
Society_E,T+84,10.838,7.4,1.6129999999999995
Society_E,T+95,8.8,5.2,-1.625
Society_E,T+96,8.35,3.8,-0.45000000000000107
Society_E,T+97,5.037,1.1,-3.3129999999999997
Society_E,T+98,2.525,-0.4,-2.512
Society_E,T+99,4.312,-0.3,1.7870000000000004
Society_E,T+101,7.137,1.1,1.9239999999999995
Society_E,T+104,9.662,2.6,1.774000000000001
Society_E,T+107,4.65,-2.2,-5.337999999999999
Society_E,T+109,6.975,2.3,2.0629999999999997
Society_E,T+113,9.95,7.2,1.049999999999999
Society_E,T+114,11.613,7.6,1.6630000000000003
Society_E,T+144,7.713,5.1,-5.037
Society_B,T+35,10.387,5.7,-2.187999999999999
Society_B,T+36,8.45,3.5,-1.9370000000000012
Society_B,T+37,5.8,0.3,-2.6499999999999995
Society_B,T+38,1.7,-2.2,-4.1
Society_B,T+43,-1.1,-5.0,-2.988
Society_B,T+44,6.088,3.0,7.188000000000001
