Society_ID,T_Offset,V_Mean_Calc,V_Min_Calc,V_Mean_Delta,V_Mean,V_Min,Lambda2,B_Mean,s_min,Min_Node,T_int,T_minus5_str,T_minus1_str,Lambda2_5ago,B_Mean_prev,DeltaLambda2_5yr,B_Rising,Start_Year,Society,Year,Inflection_Type,EP_Pred,Confidence,GT_EP,GT_Conf,GT_Note,Correct
Society_C,T+15,3.65,0.5,-5.686999999999999,3.65,0.5,0.7369,0.1259,-0.6552,Hands,15,T+10,T+14,1.4661,0.2293,-0.7292,False,1875,Australia,1890,SYSTEMIC_CRISIS_ENTRY,EP-6,Moderate-High,EP-3,H,"Banking collapse, land bust, depression onset",False
Society_C,T+19,8.213,6.0,5.062999999999999,8.2125,6.0,1.2908,0.2094,-0.0416,Shield,19,T+14,T+18,1.4661,0.1194,-0.1753,True,1875,Australia,1894,SHARP_RECOVERY,EP-1,High,EP-1,H,"Depression recovery consolidation, federation prep",True
Society_C,T+26,10.588,8.5,1.875,10.5875,8.5,1.612,0.2622,0.208,Stewards,26,T+21,T+25,1.2908,0.2196,0.3212,True,1875,Australia,1901,SHARP_RECOVERY,EP-1,High,EP-2,H,Federation: elite constitutional realignment,False
Society_C,T+39,7.65,5.5,-3.0,7.65,5.5,1.1255,0.1784,-0.5,Helm,39,T+34,T+38,1.6269,0.2668,-0.5014,False,1875,Australia,1914,COLLAPSE,EP-6,Moderate,EP-4,H,"WWI declaration, AIF mobilisation",False
Society_C,T+41,7.15,3.5,-0.5,7.15,3.5,1.0364,0.1672,-1.0,Helm,41,T+36,T+40,1.6269,0.1784,-0.5905,False,1875,Australia,1916,HOLLOW_HIGH_V,EP-2,High,EP-5,M,"Conscription referenda 1916-17, Labor split",False
Society_C,T+43,7.65,5.5,0.5,7.65,5.5,1.1255,0.1784,-0.5,Helm,43,T+38,T+42,1.6269,0.1672,-0.5014,True,1875,Australia,1918,NODE_FAILURE_CROSSING,EP-6,Moderate,EP-2,M,"War ends; demobilisation, political realignment",False
Society_C,T+54,-0.025,-3.6,-7.675000000000001,-0.025,-3.6,0.5048,0.0858,-0.7168,Flow,54,T+49,T+53,1.2669,0.1943,-0.7621,False,1875,Australia,1929,SYSTEMIC_CRISIS_ENTRY,EP-6,Moderate-High,EP-3,H,"Great Depression hits - banking, unemployment",False
Society_C,T+59,7.213,5.0,6.063000000000001,7.2125,5.0,1.1558,0.181,-0.16,Hands,59,T+54,T+58,0.5048,0.0925,0.651,True,1875,Australia,1934,SHARP_RECOVERY,EP-1,High,EP-1,H,"Depression recovery, Lyons consolidation",True
Society_C,T+69,11.838,9.5,3.751,11.8375,9.5,1.6239,0.2678,0.468,Stewards,69,T+64,T+68,1.2262,0.1768,0.3977,True,1875,Australia,1944,SHARP_RECOVERY,EP-1,High,EP-4,H,"Pacific War peak, Curtin war government",False
Society_C,T+75,12.312,9.5,1.849,12.3125,9.5,1.8552,0.2951,0.3,Shield,75,T+70,T+74,1.6238,0.2494,0.2314,True,1875,Australia,1950,SHARP_RECOVERY,EP-1,High,EP-4,M,"Korean War commitment, Cold War alignment",False
Society_C,T+91,8.713,5.5,-3.7250000000000014,8.7125,5.5,1.2616,0.2055,-0.5,Helm,91,T+86,T+90,1.8121,0.3001,-0.5505,False,1875,Australia,1966,COLLAPSE,EP-6,Moderate,EP-4,H,"Vietnam War commitment, troop deployment",False
Society_C,T+99,8.088,4.8,-1.625,8.0875,4.8,1.267,0.1969,-0.728,Flow,99,T+94,T+98,1.2135,0.2279,0.0535,False,1875,Australia,1974,COLLAPSE,EP-3,Moderate,EP-3,H,"Oil crisis, Whitlam economic disruption",True
Society_C,T+108,12.775,10.1,5.375,12.775,10.1,1.8726,0.3066,0.522,Hands,108,T+103,T+107,1.2374,0.1878,0.6352,True,1875,Australia,1983,SHARP_RECOVERY,EP-1,High,EP-2,H,Hawke ALP election - elite realignment,False
Society_C,T+115,5.275,0.0,-6.625,5.275,0.0,0.938,0.1507,-0.988,Hands,115,T+110,T+114,1.806,0.2786,-0.868,False,1875,Australia,1990,SYSTEMIC_CRISIS_ENTRY,EP-6,Moderate-High,EP-3,H,Recession 1990-91,False
Society_C,T+118,9.4,6.5,3.375,9.4,6.5,1.3694,0.2209,-0.25,Hands,118,T+113,T+117,1.8829,0.1583,-0.5135,True,1875,Australia,1993,SHARP_RECOVERY,EP-1,High,EP-1,H,"Recovery, Keating consolidation",True
Society_C,T+133,7.638,5.0,-2.824,7.6375,5.0,1.1426,0.1883,-0.9984,Stewards,133,T+128,T+132,1.3329,0.25,-0.1903,False,1875,Australia,2008,COLLAPSE,EP-6,Moderate,EP-3,H,"GFC - fiscal stimulus, banks stressed",False
Society_C,T+135,7.888,1.5,-0.4990000000000005,7.8875,1.5,1.1125,0.1935,-0.6,Helm,135,T+130,T+134,1.3947,0.2058,-0.2822,False,1875,Australia,2010,HOLLOW_HIGH_V,EP-2,High,EP-2,H,Gillard removes Rudd - intra-elite coup,True
Society_C,T+137,8.262,4.5,0.3740000000000005,8.2625,4.5,1.2522,0.2018,-0.75,Helm,137,T+132,T+136,1.5358,0.1962,-0.2836,True,1875,Australia,2012,HOLLOW_HIGH_V,EP-2,High,EP-2,H,Gillard/Rudd rivalry continues - elite instability,True
Society_C,T+139,7.037,2.1,-1.2250000000000003,7.0375,2.1,1.1016,0.1842,-0.936,Helm,139,T+134,T+138,1.2796,0.2018,-0.178,False,1875,Australia,2014,HOLLOW_HIGH_V,EP-2,High,EP-2,H,Abbott/Turnbull era - leadership fragility,True
Society_C,T+146,6.7,4.9,1.0,6.7,4.9,1.0675,0.1696,-0.65,Helm,146,T+141,T+145,1.1383,0.1548,-0.0708,True,1875,Australia,2021,HOLLOW_HIGH_V,EP-2,High,EP-2,M,"Morrison political attrition, 2022 election brewing",True
Society_E,T+15,9.688,4.9,-1.786999999999999,9.6875,4.9,1.3297,0.2108,-0.1008,Hands,15,T+10,T+14,1.6656,0.2646,-0.3359,False,1875,Chile,1890,COLLAPSE,EP-3,Moderate,EP-4,H,Chilean Civil War imminent 1891 - armed mobilisation,False
Society_E,T+16,4.05,0.4,-5.638000000000001,4.05,0.4,0.7223,0.1108,-0.5472,Hands,16,T+11,T+15,1.7013,0.2108,-0.979,False,1875,Chile,1891,SYSTEMIC_CRISIS_ENTRY,EP-6,Moderate-High,EP-4,H,Civil War 1891 + Balmaceda suicide; then EP-6 follows,False
Society_E,T+17,9.387,4.3,5.337000000000001,9.3875,4.3,1.4073,0.2248,-0.144,Hands,17,T+12,T+16,1.7152,0.1108,-0.3079,True,1875,Chile,1892,SHARP_RECOVERY,EP-1,High,EP-2,H,Parliamentary republic established; elite realignment,False
Society_E,T+25,10.3,2.8,-0.2370000000000001,10.3,2.8,1.453,0.2468,-0.2554,Hands,25,T+20,T+24,1.5471,0.2599,-0.0941,False,1875,Chile,1900,PEAK_STABILITY,EP-2,High,EP-2,M,"Parliamentary republic politics, elite redistribution",True
Society_E,T+29,10.6,4.0,0.2750000000000003,10.6,4.0,1.5561,0.257,-0.2048,Hands,29,T+24,T+28,1.5996,0.2468,-0.0435,True,1875,Chile,1904,NODE_FAILURE_CROSSING,EP-3,Moderate,EP-3,M,"Nitrate economy fluctuations, labour disputes",True
Society_E,T+30,10.163,3.0,-0.4369999999999994,10.1625,3.0,1.414,0.2392,-0.2688,Hands,30,T+25,T+29,1.453,0.257,-0.039,False,1875,Chile,1905,PEAK_STABILITY,EP-2,High,EP-2,M,"Parliamentary political shifts, president rotation",True
Society_E,T+32,8.238,-0.0,-2.112,8.2375,-0.0,1.0385,0.1909,-0.3696,Hands,32,T+27,T+31,1.4934,0.2476,-0.4549,False,1875,Chile,1907,COLLAPSE,EP-3,Moderate,EP-5,H,"Iquique massacre: mass worker mobilisation, state violence",False
Society_E,T+33,10.238,3.4,2.0,10.2375,3.4,1.47,0.2437,-0.224,Hands,33,T+28,T+32,1.4743,0.1909,-0.0043,True,1875,Chile,1908,SHARP_RECOVERY,EP-1,High,EP-1,M,"Post-Iquique stabilisation, nitrate recovery",True
Society_E,T+38,10.5,4.0,0.0999999999999996,10.5,4.0,1.5494,0.2528,-0.2189,Hands,38,T+33,T+37,1.47,0.2513,0.0794,True,1875,Chile,1913,NODE_FAILURE_CROSSING,EP-3,Moderate,EP-3,H,"Nitrate market decline, economic pressures",True
Society_E,T+39,9.525,3.9,-0.9749999999999996,9.525,3.9,1.447,0.2315,-0.264,Hands,39,T+34,T+38,1.4436,0.2528,0.0034,False,1875,Chile,1914,NODE_FAILURE_CROSSING,EP-3,Moderate,EP-3,H,"WWI disrupts nitrate exports, economic shock",True
Society_E,T+50,8.025,4.0,1.7380000000000004,8.025,4.0,1.2815,0.1968,-0.3696,Hands,50,T+45,T+49,1.23,0.156,0.0515,True,1875,Chile,1925,SHARP_RECOVERY,EP-1,High,EP-6,H,"Military coup, Ibáñez, end of Parliamentary Republic",False
Society_E,T+55,6.963,2.2,-3.2,6.9625,2.2,1.0561,0.1723,-0.5184,Hands,55,T+50,T+54,1.2815,0.2323,-0.2254,False,1875,Chile,1930,COLLAPSE,EP-3,Moderate,EP-3,H,Great Depression hits Chilean economy,True
Society_E,T+56,2.6,-1.8,-4.363,2.6,-1.8,0.6664,0.1086,-0.768,Hands,56,T+51,T+55,1.3303,0.1723,-0.6639,False,1875,Chile,1931,SYSTEMIC_CRISIS_ENTRY,EP-6,Moderate-High,EP-6,H,"Ibáñez flees, Socialist Republic declared, collapse",True
Society_E,T+58,7.463,2.7,4.45,7.4625,2.7,1.1715,0.1918,-0.2371,Hands,58,T+53,T+57,1.3243,0.1146,-0.1528,True,1875,Chile,1933,SHARP_RECOVERY,EP-1,High,EP-2,H,"Popular Front era beginning, elite realignment",False
Society_E,T+61,8.988,4.0,-0.0620000000000011,8.9875,4.0,1.3503,0.2215,-0.1568,Hands,61,T+56,T+60,0.6664,0.2276,0.6839,False,1875,Chile,1936,NODE_FAILURE_CROSSING,EP-3,Moderate,EP-2,M,Popular Front consolidation,False
Society_E,T+84,10.838,7.4,1.6129999999999995,10.8375,7.4,1.6639,0.2621,0.0416,Hands,84,T+79,T+83,1.2462,0.2256,0.4177,True,1875,Chile,1959,SHARP_RECOVERY,EP-1,High,EP-1,H,"Alessandri stabilisation, economic recovery",True
Society_E,T+95,8.8,5.2,-1.625,8.8,5.2,1.1594,0.201,-0.432,Stewards,95,T+90,T+94,1.5681,0.2383,-0.4087,False,1875,Chile,1970,COLLAPSE,EP-6,Moderate,EP-2,H,Allende election - institutional realignment via ballot,False
Society_E,T+96,8.35,3.8,-0.450000000000001,8.35,3.8,1.0629,0.1938,-0.5568,Stewards,96,T+91,T+95,1.5956,0.201,-0.5327,False,1875,Chile,1971,HOLLOW_HIGH_V,EP-2,High,EP-3,M,"Allende economic disruptions, nationalisation",False
