Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
1900,Executive,4,3,-6,3,4,9
1900,Army,6,5,-3,3,11,8
1900,Priests,7,2,-2,4,11,4
1900,Property Owners,6,5,-3,4,12,8
1900,Trades/Professions,5,4,-3,4,10,7
1900,Proletariat,3,3,-7,2,1,10
1900,State Memory,7,2,-2,5,12,4
1900,Shopkeepers/Merchants,5,4,-4,3,8,8
1910,Executive,4,3,-6,3,4,9
1910,Army,6,5,-3,3,11,8
1910,Priests,7,2,-2,4,11,4
1910,Property Owners,6,5,-3,4,12,8
1910,Trades/Professions,5,4,-3,4,10,7
1910,Proletariat,3,3,-7,2,1,10
1910,State Memory,7,2,-2,5,12,4
1910,Shopkeepers/Merchants,5,4,-4,3,8,8
1920,Executive,6,6,-3,5,14,9
1920,Army,7,6,-2,4,15,8
1920,Priests,7,3,-1,5,14,4
1920,Property Owners,4,4,-4,4,8,8
1920,Trades/Professions,6,5,-2,5,14,7
1920,Proletariat,5,4,-4,3,8,8
1920,State Memory,8,4,-1,6,17,5
1920,Shopkeepers/Merchants,6,5,-3,4,12,8
1930,Executive,7,7,-2,6,18,9
1930,Army,7,6,-2,4,15,8
1930,Priests,7,3,-1,5,14,4
1930,Property Owners,3,3,-5,3,4,8
1930,Trades/Professions,6,5,-2,5,14,7
1930,Proletariat,5,4,-4,3,8,8
1930,State Memory,8,4,-1,6,17,5
1930,Shopkeepers/Merchants,6,5,-3,4,12,8
1940,Executive,2,4,-8,2,0,12
1940,Army,6,6,-4,3,11,10
1940,Priests,5,2,-4,4,7,6
1940,Property Owners,2,2,-7,2,-1,9
1940,Trades/Professions,4,3,-5,3,5,8
1940,Proletariat,3,4,-7,2,2,11
1940,State Memory,4,2,-6,4,4,8
1940,Shopkeepers/Merchants,4,3,-6,2,3,9
1950,Executive,3,5,-7,3,4,12
1950,Army,7,7,-3,4,15,10
1950,Priests,4,2,-5,4,5,7
1950,Property Owners,1,1,-8,1,-5,9
1950,Trades/Professions,4,4,-4,3,7,8
1950,Proletariat,3,5,-6,2,4,11
1950,State Memory,3,2,-7,4,2,9
1950,Shopkeepers/Merchants,3,4,-5,2,4,9
1960,Executive,3,6,-6,4,7,12
1960,Army,7,7,-2,4,16,9
1960,Priests,4,2,-4,4,6,6
1960,Property Owners,1,1,-7,2,-3,8
1960,Trades/Professions,5,5,-3,4,11,8
1960,Proletariat,4,6,-5,3,8,11
1960,State Memory,3,3,-6,5,5,9
1960,Shopkeepers/Merchants,4,5,-4,3,8,9
1970,Executive,3,6,-5,5,9,11
1970,Army,7,7,-2,4,16,9
1970,Priests,4,2,-3,4,7,5
1970,Property Owners,1,1,-6,2,-2,7
1970,Trades/Professions,5,5,-2,5,13,7
1970,Proletariat,4,6,-4,4,10,10
1970,State Memory,4,3,-5,5,7,8
1970,Shopkeepers/Merchants,4,5,-3,4,10,8
1980,Executive,3,6,-5,5,9,11
1980,Army,7,7,-2,4,16,9
1980,Priests,4,2,-3,4,7,5
1980,Property Owners,1,1,-6,2,-2,7
1980,Trades/Professions,5,5,-2,5,13,7
1980,Proletariat,4,6,-4,4,10,10
1980,State Memory,4,3,-5,5,7,8
1980,Shopkeepers/Merchants,4,5,-3,4,10,8
1990,Executive,4,6,-4,6,12,10
1990,Army,6,6,-3,4,13,9
1990,Priests,5,3,-2,5,11,5
1990,Property Owners,2,2,-5,3,2,7
1990,Trades/Professions,6,6,-1,6,17,7
1990,Proletariat,5,5,-3,5,12,8
1990,State Memory,6,4,-3,6,13,7
1990,Shopkeepers/Merchants,5,6,-2,5,14,8
2000,Executive,6,7,-2,7,18,9
2000,Army,6,6,-2,5,15,8
2000,Priests,6,4,-1,6,15,5
2000,Property Owners,5,5,-3,5,12,8
2000,Trades/Professions,7,7,-1,7,20,8
2000,Proletariat,6,6,-2,6,16,8
2000,State Memory,7,5,-1,7,18,6
2000,Shopkeepers/Merchants,6,7,-2,6,17,9
2010,Executive,7,7,-2,7,19,9
2010,Army,6,6,-2,5,15,8
2010,Priests,6,4,-1,6,15,5
2010,Property Owners,6,6,-2,6,16,8
2010,Trades/Professions,7,7,-1,7,20,8
2010,Proletariat,6,6,-2,6,16,8
2010,State Memory,7,5,-1,7,18,6
2010,Shopkeepers/Merchants,7,7,-1,6,19,8
2020,Executive,7,7,-2,7,19,9
2020,Army,6,6,-2,5,15,8
2020,Priests,6,4,-1,6,15,5
2020,Property Owners,7,7,-2,6,18,9
2020,Trades/Professions,7,7,-1,7,20,8
2020,Proletariat,6,6,-2,6,16,8
2020,State Memory,7,5,-1,7,18,6
2020,Shopkeepers/Merchants,7,7,-1,6,19,8
