Society,Year,series_file,tier,range_tier,source,V_mean,V_std,V_min,B_mean,lambda2,sigma_min,regime
Afghanistan,1900,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,Afghanistan_cleaned.csv,3.8125,2.5731486062798625,-1.0,0.16980384159348255,1.0593029010888146,-0.3,Systemic crisis
Afghanistan,1901,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,Afghanistan_cleaned.csv,3.8125,2.5731486062798625,-1.0,0.16980384159348255,1.0593029010888146,-0.3,Systemic crisis
Afghanistan,1902,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,Afghanistan_cleaned.csv,3.8125,2.5731486062798625,-1.0,0.16980384159348255,1.0593029010888146,-0.3,Systemic crisis
Afghanistan,1903,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,Afghanistan_cleaned.csv,3.8125,2.5731486062798625,-1.0,0.16980384159348255,1.0593029010888146,-0.3,Systemic crisis
Afghanistan,1904,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,Afghanistan_cleaned.csv,3.8125,2.5731486062798625,-1.0,0.16980384159348255,1.0593029010888146,-0.3,Systemic crisis
Afghanistan,1905,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,Afghanistan_cleaned.csv,3.8125,2.5731486062798625,-1.0,0.16980384159348255,1.0593029010888146,-0.3,Systemic crisis
Afghanistan,1906,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,Afghanistan_cleaned.csv,3.8125,2.5731486062798625,-1.0,0.16980384159348255,1.0593029010888146,-0.3,Systemic crisis
Afghanistan,1907,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,Afghanistan_cleaned.csv,3.8125,2.5731486062798625,-1.0,0.16980384159348255,1.0593029010888146,-0.3,Systemic crisis
Afghanistan,1908,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,Afghanistan_cleaned.csv,3.8125,2.5731486062798625,-1.0,0.16980384159348255,1.0593029010888146,-0.3,Systemic crisis
Afghanistan,1909,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,Afghanistan_cleaned.csv,3.8125,2.5731486062798625,-1.0,0.16980384159348255,1.0593029010888146,-0.3,Systemic crisis
Afghanistan,1910,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,Afghanistan_cleaned.csv,3.8125,2.5731486062798625,-1.0,0.16980384159348255,1.0593029010888146,-0.3,Systemic crisis
Afghanistan,1911,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,Afghanistan_cleaned.csv,3.8125,2.5731486062798625,-1.0,0.16980384159348255,1.0593029010888146,-0.3,Systemic crisis
Afghanistan,1912,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,Afghanistan_cleaned.csv,3.8125,2.5731486062798625,-1.0,0.16980384159348255,1.0593029010888146,-0.3,Systemic crisis
Afghanistan,1913,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,Afghanistan_cleaned.csv,3.8125,2.5731486062798625,-1.0,0.16980384159348255,1.0593029010888146,-0.3,Systemic crisis
Afghanistan,1914,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,Afghanistan_cleaned.csv,3.8125,2.5731486062798625,-1.0,0.16980384159348255,1.0593029010888146,-0.3,Systemic crisis
Afghanistan,1915,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,Afghanistan_cleaned.csv,3.8125,2.5731486062798625,-1.0,0.16980384159348255,1.0593029010888146,-0.3,Systemic crisis
Afghanistan,1916,Afghanistan_cleaned_Bij_v10.csv,usp_or_legacy,in_range,Afghanistan_cleaned.csv,3.8125,2.5731486062798625,-1.0,0.16980384159348255,1.0593029010888146,-0.3,Systemic crisis
