Nation,Year,Node,Coherence,Capacity,Stress,Abstraction,Node value,Bond strength
UK,1940,Executive,7.0,7.0,-7.0,6.0,20.0,10.8
UK,1940,Army,8.0,6.0,-8.0,5.0,21.5,10.4
UK,1940,Priests,6.0,5.0,-4.0,4.0,13.0,8.4
UK,1940,Property Owners,5.0,6.0,-3.0,4.0,14.0,7.8
UK,1940,Trades/Professions,6.0,6.0,-4.0,5.0,15.5,9.0
UK,1940,Proletariat,7.0,7.0,-5.0,3.0,17.5,9.6
UK,1940,State Memory,8.0,7.0,-7.0,6.0,21.0,10.8
UK,1940,Shopkeepers/Merchants,6.0,6.0,-4.0,4.0,14.0,8.4
UK,1941,Executive,7.5,7.5,-8.0,6.5,22.3,11.4
UK,1941,Army,8.5,6.5,-9.0,5.5,23.8,11.0
UK,1941,Priests,6.5,5.5,-5.0,4.5,15.3,9.0
UK,1941,Property Owners,5.5,6.5,-4.0,4.5,16.8,8.4
UK,1941,Trades/Professions,6.5,6.5,-5.0,5.5,17.8,9.6
UK,1941,Proletariat,7.5,7.5,-6.0,3.5,19.3,10.2
UK,1941,State Memory,8.5,7.5,-8.0,6.5,22.8,11.4
UK,1941,Shopkeepers/Merchants,6.5,6.5,-5.0,4.5,16.3,9.0
UK,1942,Executive,8.0,8.0,-9.0,7.0,24.0,12.0
UK,1942,Army,9.0,7.0,-10.0,6.0,25.0,11.6
UK,1942,Priests,7.0,6.0,-6.0,5.0,17.0,9.6
UK,1942,Property Owners,6.0,7.0,-5.0,5.0,18.0,9.0
UK,1942,Trades/Professions,7.0,7.0,-6.0,6.0,19.0,10.2
UK,1942,Proletariat,8.0,8.0,-7.0,4.0,21.0,10.8
UK,1942,State Memory,9.0,8.0,-9.0,7.0,24.0,12.0
UK,1942,Shopkeepers/Merchants,7.0,7.0,-6.0,5.0,18.0,9.6
UK,1943,Executive,8.0,8.0,-8.0,7.0,24.0,12.0
UK,1943,Army,8.5,7.5,-8.5,6.5,24.3,11.8
UK,1943,Priests,7.0,6.5,-5.5,5.5,18.8,10.2
UK,1943,Property Owners,6.5,7.0,-4.5,5.0,19.0,9.6
UK,1943,Trades/Professions,7.0,7.5,-5.5,6.0,20.0,10.4
UK,1943,Proletariat,8.0,8.0,-6.0,4.5,21.5,11.2
UK,1943,State Memory,8.5,8.0,-7.5,6.5,23.3,11.8
UK,1943,Shopkeepers/Merchants,7.0,7.5,-5.5,5.0,19.0,10.2
UK,1944,Executive,8.5,8.5,-9.0,7.5,25.8,12.6
UK,1944,Army,9.0,8.0,-9.5,7.0,26.0,12.2
UK,1944,Priests,7.5,7.0,-6.0,6.0,20.0,10.8
UK,1944,Property Owners,7.0,7.5,-5.0,5.5,20.8,10.2
UK,1944,Trades/Professions,7.5,8.0,-5.0,6.5,22.0,11.2
UK,1944,Proletariat,8.0,8.5,-6.5,5.0,22.3,11.6
UK,1944,State Memory,9.0,8.0,-8.0,7.0,24.0,12.2
UK,1944,Shopkeepers/Merchants,7.5,8.0,-5.0,5.5,21.8,10.8
UK,1945,Executive,8.0,8.0,-8.0,7.0,24.0,12.0
UK,1945,Army,8.5,7.5,-8.5,6.5,24.3,11.8
UK,1945,Priests,7.0,6.5,-5.5,5.5,18.8,10.2
UK,1945,Property Owners,6.5,7.0,-4.5,5.0,19.0,9.6
UK,1945,Trades/Professions,7.0,7.5,-5.5,6.0,20.0,10.4
UK,1945,Proletariat,8.0,8.0,-6.0,4.5,21.5,11.2
UK,1945,State Memory,8.5,8.0,-7.5,6.5,23.3,11.8
UK,1945,Shopkeepers/Merchants,7.0,7.5,-5.5,5.0,19.0,10.2
UK,1946,Executive,7.0,7.0,-6.0,6.0,21.0,10.8
UK,1946,Army,7.0,6.0,-6.5,5.0,18.5,9.8
UK,1946,Priests,6.0,5.5,-4.5,4.5,16.3,8.8
UK,1946,Property Owners,5.5,6.0,-3.5,4.0,16.0,8.2
UK,1946,Trades/Professions,6.0,6.5,-4.5,5.0,17.0,9.2
UK,1946,Proletariat,7.0,7.0,-5.0,4.0,18.0,10.0
UK,1946,State Memory,7.5,7.0,-6.0,5.5,19.8,10.4
UK,1946,Shopkeepers/Merchants,6.0,6.5,-4.5,4.0,16.0,8.8
UK,1947,Executive,6.0,6.0,-4.0,5.0,18.0,9.6
UK,1947,Army,6.0,5.0,-5.5,4.0,15.5,8.4
UK,1947,Priests,5.0,5.0,-3.5,4.0,14.5,7.8
UK,1947,Property Owners,5.0,5.5,-2.5,3.5,14.8,7.6
