test,metric,value,p,n,note
T1_SIPRI_Shield_aligned,pearson_r_cross_sectional,-0.1153,7.90e-07,1823,n_soc=35
T1_SIPRI_Shield_aligned,pearson_r_within_society,0.0546,0.01969,1823,n_soc=35
T1_SIPRI_Shield_aligned,n_societies,35.0,,1823,
T1_SIPRI_Shield_legacy,pearson_r_cross_sectional,-0.1552,2.69e-11,1823,n_soc=35
T1_SIPRI_Shield_legacy,pearson_r_within_society,0.0067,0.7746,1823,n_soc=35
T1_SIPRI_Shield_legacy,n_societies,35.0,,1823,
T1_OWID_SIPRI_Shield_aligned,pearson_r_cross_sectional,-0.1153,7.90e-07,1823,
T1_OWID_SIPRI_Shield_aligned,pearson_r_within_society,0.0546,0.01969,1823,
T1_OWID_SIPRI_Shield_legacy,pearson_r_cross_sectional,-0.1552,2.69e-11,1823,
T1_OWID_SIPRI_Shield_legacy,pearson_r_within_society,0.0067,0.7746,1823,
T1_WB_Shield_aligned,pearson_r_cross_sectional,-0.1279,1.30e-07,1693,n_soc=35
T1_WB_Shield_aligned,pearson_r_within_society,0.0383,0.1148,1693,n_soc=35
T1_WB_Shield_legacy,pearson_r_cross_sectional,-0.1647,9.20e-12,1693,n_soc=35
T1_WB_Shield_legacy,pearson_r_within_society,-0.0185,0.4459,1693,n_soc=35
T2_ILO_HandsStewards,hands_mean_rank_of_8,2.171,,1123,Node_Value rank; unaffected
T2_ILO_HandsStewards,stewards_mean_rank_of_8,4.411,,1123,Node_Value rank; unaffected
T2_ILO_HandsStewards,hs_pairwise_vs_sbd,0.894,,1123,v1.2 pairwise B_ij / SBD
T2_ILO_HandsStewards,hs_meanbond_aligned_vs_sbd,0.954,,1123,
T2_ILO_HandsStewards,hs_meanbond_legacy_vs_sbd,1.004,,1123,
T3c_VDem_Shield_aligned,r_v2x_rule_crosssec,0.4167,8.41e-160,3806,
T3c_VDem_Shield_aligned,r_v2x_rule_within,0.1272,3.36e-15,3806,
T3c_VDem_Shield_aligned,r_v2x_neopat_crosssec,-0.3972,2.79e-140,3706,
T3c_VDem_Shield_aligned,r_v2x_neopat_within,-0.0594,2.99e-04,3706,
T3c_VDem_Shield_aligned,r_v2x_liberal_crosssec,0.3333,2.20e-99,3806,
T3c_VDem_Shield_aligned,r_v2x_liberal_within,0.1028,2.02e-10,3806,
T3c_VDem_Shield_aligned,r_v2x_civlib_crosssec,0.3244,5.34e-94,3806,
T3c_VDem_Shield_aligned,r_v2x_civlib_within,0.1099,1.04e-11,3806,
T3c_VDem_Shield_aligned,r_v2x_libdem_crosssec,0.3036,5.40e-82,3806,
T3c_VDem_Shield_aligned,r_v2x_libdem_within,0.0983,1.21e-09,3806,
T3a_Australia_Shield_aligned,r_v2x_liberal,0.2358,0.003674,150,
T3a_Australia_Shield_aligned,r_v2x_neopat,-0.233,0.004113,150,
T3a_Australia_Shield_aligned,r_v2x_rule,0.2998,1.94e-04,150,
T3a_Australia_Shield_aligned,r_v2xnp_client,-0.2787,5.53e-04,150,
T3c_VDem_Shield_aligned,median_within_soc_r_libdem,0.18,,36,
T3c_VDem_Shield_aligned,frac_positive_soc_r_libdem,0.639,,36,
T3c_VDem_Shield_aligned,frac_p05_soc_r_libdem,0.611,,36,
T3c_per_society_aligned,r_libdem_Singapore,0.694,4.71e-15,96,
T3c_per_society_aligned,r_libdem_India,0.677,3.93e-05,30,
T3c_per_society_aligned,r_libdem_Denmark,0.636,2.41e-13,106,
T3c_per_society_aligned,r_libdem_Norway,0.513,3.58e-11,146,
T3c_per_society_aligned,r_libdem_Poland,0.506,4.98e-08,103,
T3c_per_society_aligned,r_libdem_UAE,0.484,4.27e-04,49,
T3c_per_society_aligned,r_libdem_Chile,0.441,1.45e-08,151,
T3c_per_society_aligned,r_libdem_Venezuela,0.382,0.003709,56,
T3c_per_society_aligned,r_libdem_Lebanon,0.368,6.26e-04,83,
T3c_per_society_aligned,r_libdem_Turkey,0.339,0.06664,30,
T3c_per_society_aligned,r_libdem_China,0.326,5.60e-07,226,
T3c_per_society_aligned,r_libdem_Saudi Arabia,0.296,7.88e-04,125,
T3c_per_society_aligned,r_libdem_France,0.287,1.13e-04,176,
T3c_per_society_aligned,r_libdem_Canada,0.242,0.1821,32,
T3c_per_society_aligned,r_libdem_Australia,0.222,0.00637,150,
T3c_per_society_aligned,r_libdem_Sweden,0.212,0.01058,145,
T3c_per_society_aligned,r_libdem_Hong Kong,0.195,0.03569,116,
T3c_per_society_aligned,r_libdem_Japan,0.187,0.02168,151,
T3c_per_society_aligned,r_libdem_Syria,0.172,0.0863,100,
T3c_per_society_aligned,r_libdem_Indonesia,0.098,0.3707,85,
T3c_per_society_aligned,r_libdem_Iran,0.096,0.2837,126,
T3c_per_society_aligned,r_libdem_Colombia,0.093,0.2566,151,
T3c_per_society_aligned,r_libdem_Brazil,0.087,0.2942,146,
T3c_per_society_aligned,r_libdem_Italy,-0.026,0.7765,124,
T3c_per_society_aligned,r_libdem_Pakistan,-0.084,0.4626,78,
T3c_per_society_aligned,r_libdem_Argentina,-0.1,0.3897,76,
T3c_per_society_aligned,r_libdem_Germany,-0.104,0.2199,142,
T3c_per_society_aligned,r_libdem_Iraq,-0.168,0.09718,99,
T3c_per_society_aligned,r_libdem_South Africa,-0.3,6.85e-04,125,
T3c_per_society_aligned,r_libdem_Thailand,-0.304,0.1308,26,
T3c_per_society_aligned,r_libdem_USA,-0.308,0.1337,25,
T3c_per_society_aligned,r_libdem_Russia,-0.339,1.76e-07,226,
T3c_per_society_aligned,r_libdem_Ukraine,-0.362,0.02997,36,
T3c_per_society_aligned,r_libdem_UK,-0.599,1.37e-15,146,
T3c_per_society_aligned,r_libdem_Netherlands,-0.682,1.79e-07,46,
T3c_per_society_aligned,r_libdem_Israel,-0.783,2.53e-17,78,
T3c_VDem_Shield_legacy,r_v2x_rule_crosssec,0.4531,4.07e-192,3806,
T3c_VDem_Shield_legacy,r_v2x_rule_within,0.1486,3.10e-20,3806,
T3c_VDem_Shield_legacy,r_v2x_neopat_crosssec,-0.4298,1.52e-166,3706,
T3c_VDem_Shield_legacy,r_v2x_neopat_within,-0.0883,7.21e-08,3706,
T3c_VDem_Shield_legacy,r_v2x_liberal_crosssec,0.3851,9.09e-135,3806,
T3c_VDem_Shield_legacy,r_v2x_liberal_within,0.1468,9.04e-20,3806,
T3c_VDem_Shield_legacy,r_v2x_civlib_crosssec,0.372,3.14e-125,3806,
T3c_VDem_Shield_legacy,r_v2x_civlib_within,0.1598,3.33e-23,3806,
T3c_VDem_Shield_legacy,r_v2x_libdem_crosssec,0.3542,7.19e-113,3806,
T3c_VDem_Shield_legacy,r_v2x_libdem_within,0.1464,1.11e-19,3806,
T3a_Australia_Shield_legacy,r_v2x_liberal,0.1215,0.1384,150,
T3a_Australia_Shield_legacy,r_v2x_neopat,-0.1239,0.1308,150,
T3a_Australia_Shield_legacy,r_v2x_rule,0.2047,0.01196,150,
T3a_Australia_Shield_legacy,r_v2xnp_client,-0.1816,0.02615,150,
T3c_VDem_Shield_legacy,median_within_soc_r_libdem,0.193,,36,
T3c_VDem_Shield_legacy,frac_positive_soc_r_libdem,0.694,,36,
T3c_VDem_Shield_legacy,frac_p05_soc_r_libdem,0.667,,36,
T3c_per_society_legacy,r_libdem_India,0.856,1.59e-09,30,
