Year,Node,C,K,S,A,V_delivered,V_spec,delta,violates,inside_env,V_min,V_max,over_max
2015,Helm,6.0,6.8,4.2,6.6,11.5,11.9,-0.4,True,True,10.5,12.0,-0.5
2015,Shield,7.0,8.0,3.4,7.0,14.1,15.1,-1.0,True,False,14.0,14.0,0.1
2015,Lore,6.0,7.0,4.4,7.0,12.1,12.1,0.0,False,False,12.0,12.0,0.1
2015,Archive,6.0,7.0,4.2,6.8,12.2,12.2,-0.0,False,True,10.5,12.5,-0.3
2015,Craft,6.0,7.0,3.6,6.8,13.0,12.8,0.2,True,True,11.0,13.0,0.0
2015,Flow,7.0,8.0,3.2,7.6,15.6,15.6,-0.0,False,True,13.5,16.0,-0.4
2015,Stewards,7.0,8.0,3.2,7.6,15.6,15.6,-0.0,False,True,13.5,16.0,-0.4
2015,Hands,5.0,6.0,5.0,5.0,9.5,8.5,1.0,True,True,9.5,9.5,0.0
2016,Helm,5.0,6.0,5.8,6.0,8.2,8.2,0.0,False,False,8.0,8.0,0.2
2016,Shield,7.0,8.0,3.4,7.0,14.1,15.1,-1.0,True,False,14.0,14.0,0.1
2016,Lore,5.0,6.0,6.0,6.0,8.0,8.0,0.0,False,True,8.0,8.0,0.0
2016,Archive,6.0,7.0,4.2,6.8,12.2,12.2,-0.0,False,True,10.5,12.5,-0.3
2016,Craft,6.0,7.0,3.6,6.8,13.0,12.8,0.2,True,True,11.0,13.0,0.0
2016,Flow,7.0,8.0,3.2,7.6,15.6,15.6,-0.0,False,True,13.5,16.0,-0.4
2016,Stewards,7.0,8.0,3.2,7.6,15.6,15.6,-0.0,False,True,13.5,16.0,-0.4
2016,Hands,5.0,6.0,5.0,5.0,9.5,8.5,1.0,True,True,9.5,9.5,0.0
2017,Helm,4.0,5.2,6.8,5.2,5.8,5.0,0.8,True,True,4.5,6.0,-0.2
2017,Shield,7.0,8.0,3.4,7.0,14.1,15.1,-1.0,True,False,14.0,14.0,0.1
2017,Lore,5.0,6.0,6.0,6.0,8.0,8.0,0.0,False,True,8.0,8.0,0.0
2017,Archive,5.0,6.2,5.4,6.2,10.1,8.9,1.2,True,True,9.5,11.0,-0.9
2017,Craft,6.0,7.0,3.6,6.8,13.0,12.8,0.2,True,True,11.0,13.0,0.0
2017,Flow,7.0,8.0,3.2,7.6,15.6,15.6,-0.0,False,True,13.5,16.0,-0.4
2017,Stewards,7.0,8.0,3.2,7.6,15.6,15.6,-0.0,False,True,13.5,16.0,-0.4
2017,Hands,5.0,6.0,5.0,5.0,9.5,8.5,1.0,True,True,9.5,9.5,0.0
2018,Helm,4.0,5.2,6.8,5.2,5.8,5.0,0.8,True,True,4.5,6.0,-0.2
2018,Shield,7.0,8.0,3.6,7.0,13.9,14.9,-1.0,True,True,13.5,14.0,-0.1
2018,Lore,5.0,6.0,6.0,6.0,8.0,8.0,0.0,False,True,8.0,8.0,0.0
2018,Archive,5.0,6.0,5.2,6.2,10.2,8.9,1.3,True,True,9.5,11.5,-1.3
2018,Craft,6.0,7.0,3.6,6.8,13.0,12.8,0.2,True,True,11.0,13.0,0.0
2018,Flow,7.0,8.0,3.2,7.6,15.6,15.6,-0.0,False,True,13.5,16.0,-0.4
2018,Stewards,7.2,8.0,3.2,7.6,15.8,15.8,0.0,False,True,13.5,16.25,-0.45
2018,Hands,5.0,6.0,5.0,5.0,9.5,8.5,1.0,True,True,9.5,9.5,0.0
2019,Helm,4.0,5.0,6.8,5.0,5.7,4.7,1.0,True,False,5.5,5.5,0.2
2019,Shield,7.0,8.0,3.6,7.0,13.9,14.9,-1.0,True,True,13.5,14.0,-0.1
2019,Lore,4.6,6.0,6.0,6.0,8.0,7.6,0.4,True,True,7.0,8.0,0.0
2019,Archive,5.0,6.0,5.4,6.0,9.6,8.6,1.0,True,True,8.5,10.0,-0.4
2019,Craft,6.0,7.0,3.6,6.8,13.0,12.8,0.2,True,True,11.0,13.0,0.0
2019,Flow,7.0,8.0,3.2,7.6,15.6,15.6,-0.0,False,True,13.5,16.0,-0.4
2019,Stewards,7.2,8.0,3.0,7.6,15.8,16.0,-0.2,True,True,13.5,16.25,-0.45
2019,Hands,5.0,6.0,5.0,5.0,9.5,8.5,1.0,True,True,9.5,9.5,0.0
2020,Helm,4.0,5.4,7.6,5.4,5.5,4.5,1.0,True,True,4.5,6.5,-1.0
2020,Shield,6.0,7.0,5.0,6.0,11.0,11.0,0.0,False,True,11.0,11.0,0.0
2020,Lore,4.6,5.8,6.8,5.4,7.3,6.3,1.0,True,True,6.5,8.0,-0.7
2020,Archive,5.4,6.2,5.6,5.8,9.7,8.9,0.8,True,True,8.5,10.25,-0.55
2020,Craft,5.6,6.2,6.0,6.0,8.8,8.8,0.0,False,True,7.0,9.75,-0.95
2020,Flow,5.0,6.0,7.0,6.0,7.0,7.0,0.0,False,True,7.0,7.0,0.0
2020,Stewards,6.0,7.0,4.6,6.4,11.6,11.6,-0.0,False,False,9.5,11.5,0.1
2020,Hands,4.6,5.4,7.4,4.6,5.9,4.9,1.0,True,True,4.5,6.5,-0.6
2021,Helm,5.0,5.8,6.0,5.6,7.6,7.6,-0.0,False,True,6.0,8.0,-0.4
2021,Shield,5.8,7.0,5.0,6.0,11.0,10.8,0.2,True,True,10.0,11.0,0.0
2021,Lore,4.4,5.6,6.6,5.2,6.8,6.0,0.8,True,True,5.5,7.5,-0.7
2021,Archive,5.8,6.0,5.0,5.8,10.7,9.7,1.0,True,True,9.5,11.0,-0.3
2021,Craft,5.6,6.0,5.8,5.6,9.0,8.6,0.4,True,True,7.0,9.25,-0.25
2021,Flow,5.6,6.6,5.8,6.2,10.5,9.5,1.0,True,True,8.5,11.0,-0.5
2021,Stewards,6.8,7.0,4.4,6.4,12.6,12.6,-0.0,False,True,11.0,13.25,-0.65
2021,Hands,5.0,6.2,6.0,5.0,9.2,7.7,1.5,True,True,9.0,10.0,-0.8
