Society,Legacy_Base_All,Canon_Base_All,Canon_Base_Deficit,Canon_NCTv2_All,Canon_NCTv2_Deficit,Canon_FDeficit_Only_All,Canon_FDeficit_Deficit
Afghanistan,0.5246913580246914,0.522119341563786,0.595679012345679,0.5660733549083063,0.6014023732470335,0.529835390946502,0.6054526748971193
Argentina,0.45963541666666663,0.45963541666666663,0.6497395833333334,0.5197044334975369,0.8092105263157894,0.5091145833333334,0.6536458333333334
Australia,,,,,,,
Brazil,0.7156432748538012,0.7156432748538012,0.8637226970560304,0.7125382262996942,0.8730158730158731,0.7324561403508771,0.8618233618233618
Canada,,,,,,,
Chile,0.6194444444444445,0.6194444444444445,0.9539295392953929,0.6507246376811595,0.9322033898305084,0.6152777777777778,0.948509485094851
China,0.6792792792792793,0.6792792792792792,0.6678678678678679,0.7226415094339623,0.6735849056603773,0.703903903903904,0.6630630630630631
Colombia,0.8756944444444444,0.8756944444444444,0.8652777777777777,0.5666666666666667,0.8579710144927536,0.817361111111111,0.861111111111111
Denmark,,,,,,,
Egypt,0.7652173913043478,0.7652173913043478,0.8616600790513834,0.7855917667238422,0.8619210977701544,0.7810276679841897,0.8592885375494071
Estonia,0.6210826210826211,0.6210826210826211,0.9833333333333334,0.518918918918919,0.9852507374631267,0.6196581196581197,0.9833333333333334
Finland,0.6946778711484594,0.6946778711484595,,0.6432748538011696,,0.6582633053221288,
France,0.9055555555555556,0.9055555555555556,0.9457994579945799,0.9275362318840579,0.9293785310734463,0.9083333333333333,0.9512195121951219
Germany,0.9031339031339031,0.9031339031339031,0.9320987654320988,0.8690476190476191,0.9285714285714286,0.905982905982906,0.9320987654320988
Hong Kong,0.35151515151515145,0.35151515151515145,,0.36507936507936506,,0.356060606060606,
India,0.14285714285714285,0.14285714285714285,,0.1717948717948718,,0.14285714285714285,
Indonesia,0.1904761904761905,0.1904761904761905,0.48051948051948046,0.5202702702702703,0.41216216216216217,0.3131868131868132,0.4375
Iran,0.6163342830009496,0.6163342830009496,0.7540360873694207,0.5338345864661653,0.7787610619469026,0.584045584045584,0.7549857549857549
Iraq,0.7031250000000001,0.7031250000000001,0.770625,0.7015350877192982,0.8298245614035088,0.7447916666666667,0.770625
Israel,0.4169960474308301,0.4169960474308301,0.5108225108225108,0.5615942028985507,0.8205128205128205,0.424901185770751,0.5108225108225108
Italy,0.7004830917874396,0.7004830917874396,1.0,0.715151515151515,1.0,0.7333333333333334,1.0
Japan,0.6888888888888889,0.6944444444444444,0.8238482384823848,0.7123188405797102,0.8135593220338982,0.7263888888888889,0.8102981029810298
Lebanon,0.3642857142857143,0.3642857142857143,0.5854978354978354,0.41775147928994083,0.5624999999999999,0.3291208791208791,0.5638528138528138
New Zealand,0.5880758807588076,0.5880758807588076,0.6531165311653117,0.6581196581196581,0.698005698005698,0.5772357723577236,0.6612466124661247
Nigeria,0.35504201680672265,0.3644957983193277,0.4201680672268908,0.3310657596371882,0.42857142857142855,0.3739495798319328,0.4201680672268908
Norway,0.7005420054200542,0.7005420054200542,0.8184281842818428,0.7598870056497176,0.7966101694915254,0.7222222222222222,0.7994579945799458
Pakistan,0.4425505050505051,0.4425505050505051,0.5608108108108107,0.3693181818181818,0.912280701754386,0.4185606060606061,0.5540540540540541
Palestine,0.5154320987654321,0.5154320987654321,0.6346153846153846,0.6071428571428572,0.6027397260273972,0.7129629629629629,0.6730769230769231
Philippines,0.8603603603603603,0.8603603603603603,0.956140350877193,0.8522012578616353,0.9051987767584098,0.8723723723723723,0.956140350877193
Poland,0.6286799620132953,0.627730294396961,0.7454890788224121,0.3720588235294118,0.6445182724252492,0.3561253561253561,0.7454890788224121
Russia,0.33351322180248244,0.33297355639503506,0.36589314624932545,0.7142857142857142,0.5509433962264151,0.4716675661090124,0.3788451160280626
Saudi Arabia,0.040983606557377095,0.040983606557377095,,0.10256410256410253,,0.0,
Singapore,0.8100358422939068,0.8100358422939068,,0.8749999999999999,,0.8100358422939068,
South Africa,0.6842355175688509,0.6842355175688509,0.8644986449864498,0.7261904761904763,0.8785310734463276,0.7041785375118709,0.8617886178861789
Sweden,,,,,,,
Syria,0.7292340884573894,0.7292340884573894,0.7874865156418553,0.7182539682539681,0.7494331065759637,0.7421790722761596,0.785329018338727
Thailand,0.3091517857142857,0.3091517857142857,,0.3239700374531835,,0.3091517857142857,
Türkiye,,,,,,,
UAE,,,,,,,
USA,0.38742690058479534,0.38742690058479534,0.6527777777777778,0.4304281345565749,0.5985507246376811,0.39108187134502925,0.6541666666666667
Ukraine,0.3747680890538033,0.3747680890538033,,0.2853881278538813,,0.3692022263450835,
United Kingdom,0.4331140350877193,0.4331140350877193,,0.41513761467889904,,0.43019005847953207,
Venezuela,0.6737588652482269,0.6737588652482269,0.7517730496453902,0.6164021164021164,0.6878306878306879,0.6832151300236406,0.7399527186761229
