true_society,Year,T_Offset,eta_soil,sigma_V,BS_Lore,BS_Archive,C_Hands,S_Hands,numerator,denominator,path_type
Afghanistan,1900,T+0,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1901,T+1,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1902,T+2,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1903,T+3,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1904,T+4,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1905,T+5,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1906,T+6,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1907,T+7,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1908,T+8,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1909,T+9,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1910,T+10,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1911,T+11,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1912,T+12,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1913,T+13,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1914,T+14,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1915,T+15,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1916,T+16,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1917,T+17,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1918,T+18,0.006078536262608001,2.5731486062798625,0.2096502937009,0.19340765068713325,3.0,7.0,0.12164391231167568,20.01204024395904,Standard Transplant
Afghanistan,1919,T+19,0.003939243949061513,2.235194342780958,0.16921020595634387,0.15428205364188732,3.0,8.0,0.07831829421633434,19.881554742247666,Ruptured
Afghanistan,1920,T+20,0.003939243949061513,2.235194342780958,0.16921020595634387,0.15428205364188732,3.0,8.0,0.07831829421633434,19.881554742247666,Ruptured
Afghanistan,1921,T+21,0.008048227104680285,1.8371173070873836,0.20314025104444822,0.19624408051761574,3.0,7.0,0.11959521534700612,14.859821149611685,Intermediate/Uncertain
Afghanistan,1922,T+22,0.017596504608785965,2.3310070248714396,0.2651878882769481,0.2651878882769481,4.0,6.0,0.28129846435514844,15.986042149228638,Standard Transplant
Afghanistan,1923,T+23,0.017596504608785965,2.3310070248714396,0.2651878882769481,0.2651878882769481,4.0,6.0,0.28129846435514844,15.986042149228638,Standard Transplant
Afghanistan,1924,T+24,0.017596504608785965,2.3310070248714396,0.2651878882769481,0.2651878882769481,4.0,6.0,0.28129846435514844,15.986042149228638,Standard Transplant
Afghanistan,1925,T+25,0.017596504608785965,2.3310070248714396,0.2651878882769481,0.2651878882769481,4.0,6.0,0.28129846435514844,15.986042149228638,Standard Transplant
