Society,Baseline,Base+G+D,Base+G+D+TH,Base+Rs,Base+B_sym_mat,Base+B_groomgap,Base+Directional,Base+All_GDT_Bonds
Afghanistan,0.5246913580246914,0.4871399176954733,0.4902263374485597,0.5267489711934157,0.506687242798354,0.5416666666666666,0.522119341563786,0.5
Argentina,0.45963541666666663,0.45833333333333337,0.45963541666666663,0.48567708333333326,0.44921875,0.46484375,0.47916666666666663,0.46484375
Australia,,,,,,,,
Brazil,0.7156432748538012,0.7426900584795322,0.7426900584795322,0.7200292397660819,0.7302631578947368,0.7141812865497076,0.7302631578947368,0.7236842105263158
Canada,,,,,,,,
Chile,0.6194444444444445,0.6138888888888889,0.6180555555555556,0.6180555555555556,0.6180555555555556,0.6083333333333334,0.5902777777777777,0.5833333333333333
China,0.6792792792792793,0.6882882882882883,0.6864864864864865,0.6894894894894894,0.6846846846846848,0.685885885885886,0.6738738738738738,0.6858858858858858
Colombia,0.8756944444444444,0.8854166666666666,0.8895833333333333,0.8798611111111111,0.8631944444444444,0.8770833333333332,0.8729166666666667,0.8701388888888889
Denmark,,,,,,,,
Egypt,0.7652173913043478,0.7588932806324111,0.7588932806324111,0.7715415019762846,0.7857707509881423,0.757312252964427,0.7731225296442689,0.7596837944664031
Estonia,0.6210826210826211,0.6253561253561254,0.6239316239316239,0.6253561253561254,0.6253561253561253,0.6225071225071225,0.6125356125356125,0.6253561253561253
Finland,0.6946778711484594,0.7058823529411765,0.7058823529411765,0.6946778711484594,0.6890756302521008,0.6946778711484594,0.700280112044818,0.7226890756302521
France,0.9055555555555556,0.9111111111111111,0.9125,0.9041666666666667,0.9125000000000001,0.9125,0.9152777777777777,0.9097222222222222
Germany,0.9031339031339031,0.912630579297246,0.912630579297246,0.9097815764482432,0.9012345679012346,0.905982905982906,0.9097815764482432,0.9164292497625831
Hong Kong,0.35151515151515145,0.31363636363636366,0.31363636363636366,0.32121212121212117,0.32121212121212117,0.35151515151515145,0.31363636363636366,0.31363636363636366
India,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
Indonesia,0.1904761904761905,0.24175824175824176,0.24175824175824176,0.1904761904761905,0.1904761904761905,0.184981684981685,0.184981684981685,0.184981684981685
Iran,0.6163342830009496,0.6324786324786325,0.6324786324786325,0.6153846153846154,0.6125356125356125,0.6125356125356125,0.621082621082621,0.6220322886989553
Iraq,0.7031250000000001,0.7027083333333336,0.7022916666666669,0.7035416666666668,0.6931250000000001,0.7097916666666668,0.7043750000000002,0.6960416666666667
Israel,0.4169960474308301,0.3972332015810277,0.3972332015810277,0.4538866930171278,0.4169960474308301,0.4538866930171278,0.3972332015810277,0.38801054018445325
Italy,0.7004830917874396,0.7024154589371981,0.7024154589371981,0.7004830917874396,0.7024154589371981,0.7004830917874396,0.7101449275362319,0.706280193236715
Japan,0.6888888888888889,0.6486111111111111,0.6472222222222223,0.7055555555555555,0.7208333333333333,0.6625,0.6736111111111112,0.6722222222222222
Lebanon,0.3642857142857143,0.3642857142857143,0.3642857142857143,0.3642857142857143,0.3642857142857143,0.34890109890109894,0.3642857142857143,0.3489010989010989
New Zealand,0.5880758807588076,0.5203252032520325,0.5176151761517616,0.5880758807588076,0.5311653116531165,0.6043360433604336,0.5365853658536586,0.5040650406504065
Nigeria,0.35504201680672265,0.3644957983193277,0.3644957983193277,0.3644957983193277,0.3739495798319328,0.35504201680672265,0.3644957983193277,0.35504201680672265
Norway,0.7005420054200542,0.7032520325203252,0.7005420054200542,0.7005420054200542,0.7222222222222223,0.7140921409214093,0.7493224932249323,0.7303523035230353
