Year,Gallup_Conf,Pew_Trust,Elect_Swing,Mean_Stress,Mean_Capacity,Mean_Coherence,Mean_NodeValue,Mean_BondStrength,Stress_SD,Reactivity_Ratio,Cog_Gap,Archive_V,Archive_S,Helm_V,Shield_V
1996,39,28,6.2,3.525,7.85,6.825,14.4,31.616,0.684,1.066,1.067,14.9,3.0,14.9,16.2
1997,39,33,3.5,3.05,8.25,7.075,15.575,35.059,0.487,1.009,0.813,15.3,3.0,16.3,16.8
1998,41,35,1.0,4.25,7.95,6.225,13.2,26.639,1.372,0.714,-1.813,10.1,5.8,8.5,15.4
1999,41,40,1.0,3.95,7.975,6.575,14.038,30.266,0.739,0.794,-0.9,13.1,3.8,11.7,14.0
2000,41,44,0.8,5.25,7.55,5.725,11.438,22.683,0.886,0.907,-0.793,9.9,5.8,8.1,14.0
2001,42,57,1.0,7.275,6.85,6.225,9.425,21.334,0.604,1.043,2.6,10.2,6.8,10.2,12.3
2002,41,40,2.5,5.9,7.0,5.925,10.712,23.721,0.586,0.973,1.78,11.4,5.6,12.0,12.6
2003,42,45,1.5,6.175,7.0,5.85,10.3,22.399,0.817,0.939,0.8,11.0,5.4,10.4,11.1
2004,43,44,0.1,6.075,7.125,5.625,10.212,21.298,1.079,0.833,-0.833,9.9,6.0,9.5,9.1
2005,39,38,1.0,6.525,6.95,5.35,9.275,19.364,1.45,0.862,-1.587,6.0,7.8,4.9,10.5
2006,38,33,4.8,6.35,6.875,5.275,9.3,19.376,1.227,0.853,-1.813,7.3,6.8,6.1,7.7
2007,33,25,2.0,6.6,6.65,5.125,8.85,19.391,1.156,1.016,0.08,8.5,6.0,7.7,9.5
2008,32,27,4.6,8.175,5.7,4.325,5.412,13.988,1.244,1.1,2.207,3.7,8.6,6.5,9.5
2009,34,26,2.0,7.35,5.875,4.65,6.612,15.419,1.208,1.199,3.22,7.1,7.0,7.9,10.5
2010,32,22,5.5,6.6,6.175,4.975,7.988,17.517,0.821,1.083,1.9,8.1,6.4,7.1,10.5
2011,33,22,2.0,6.9,6.2,4.775,7.512,16.437,0.986,1.039,1.673,6.3,7.2,5.3,11.9
2012,32,29,1.8,5.725,6.575,5.075,9.362,19.433,0.676,1.079,1.113,8.9,5.6,8.7,11.5
2013,32,19,1.5,6.1,6.475,4.675,8.725,18.991,1.322,0.924,0.413,6.0,7.6,5.7,11.8
2014,30,24,4.0,6.1,6.5,4.8,8.638,17.885,1.042,0.957,-0.153,6.9,6.6,6.5,10.3
2015,31,19,2.0,5.85,6.7,5.175,9.65,20.724,0.867,0.933,-0.133,9.0,6.0,7.2,10.5
2016,31,19,2.9,6.65,6.525,4.425,7.987,17.353,1.57,0.852,-1.033,5.4,7.8,4.2,10.5
2017,34,20,2.0,6.275,6.9,4.6,8.912,18.457,1.185,0.853,-1.58,6.4,7.2,5.2,10.3
2018,33,18,5.2,6.675,6.85,4.4,8.262,17.19,1.274,0.833,-2.087,5.4,7.6,4.4,8.5
2019,32,17,2.0,6.575,6.85,4.2,8.162,16.901,1.647,0.796,-2.673,4.0,8.6,3.0,9.5
2020,36,20,3.1,9.275,5.125,3.175,2.712,10.994,0.614,1.057,1.62,1.8,9.4,1.0,6.1
2021,32,24,2.0,7.375,6.05,4.325,6.688,15.771,0.518,0.991,0.513,5.0,8.0,6.0,8.1
2022,27,20,3.5,6.9,6.375,4.6,7.7,16.932,0.65,1.039,0.533,7.0,7.0,6.5,10.5
2023,26,16,2.0,6.1,6.6,4.625,9.125,21.024,1.106,0.974,-0.333,7.2,6.8,4.8,11.5
2024,28,22,3.0,6.5,6.5,4.375,8.375,19.475,1.069,0.882,-1.533,5.0,8.0,4.0,10.5
2025,28,9,2.0,7.925,6.15,3.4,5.375,13.418,1.151,0.988,-0.253,1.5,9.0,3.0,8.5
