Entity,Year,Node,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max
ASPI,2003,Helm,0.45,0.0,0.0,0.0,1.0,11.0,12.0
ASPI,2003,Shield,0.45,0.45,0.45,0.0,3.0,11.5,14.5
ASPI,2003,Lore,0.0,0.45,0.45,0.0,2.0,13.0,15.0
ASPI,2003,Stewards,0.0,0.0,0.0,0.0,0.0,14.5,14.5
ASPI,2003,Craft,0.0,0.45,0.0,0.0,1.0,10.5,11.5
ASPI,2003,Hands,0.0,0.0,0.0,0.0,0.0,11.5,11.5
ASPI,2003,Archive,0.0,0.0,0.0,0.0,0.0,11.5,11.5
ASPI,2003,Flow,0.0,0.45,0.0,0.0,1.0,9.5,10.5
ASPI,2004,Helm,0.45,0.0,0.0,0.0,1.0,11.0,12.0
ASPI,2004,Shield,0.45,0.45,0.45,0.0,3.0,11.5,14.5
ASPI,2004,Lore,0.0,0.45,0.45,0.0,2.0,13.0,15.0
ASPI,2004,Stewards,0.0,0.0,0.0,0.0,0.0,14.5,14.5
ASPI,2004,Craft,0.0,0.45,0.0,0.0,1.0,11.5,12.5
ASPI,2004,Hands,0.0,0.0,0.0,0.0,0.0,11.5,11.5
ASPI,2004,Archive,0.0,0.0,0.0,0.0,0.0,11.5,11.5
ASPI,2004,Flow,0.0,0.45,0.0,0.0,1.0,9.5,10.5
ASPI,2005,Helm,0.45,0.0,0.0,0.0,1.0,11.0,12.0
ASPI,2005,Shield,0.45,0.45,0.45,0.0,3.0,11.5,14.5
ASPI,2005,Lore,0.0,0.45,0.45,0.0,2.0,14.0,16.0
ASPI,2005,Stewards,0.0,0.0,0.0,0.0,0.0,14.5,14.5
ASPI,2005,Craft,0.0,0.45,0.0,0.0,1.0,12.0,13.0
ASPI,2005,Hands,0.0,0.0,0.0,0.0,0.0,12.5,12.5
ASPI,2005,Archive,0.0,0.0,0.0,0.0,0.0,12.5,12.5
ASPI,2005,Flow,0.0,0.45,0.0,0.0,1.0,11.5,12.5
ASPI,2006,Helm,0.45,0.0,0.0,0.0,1.0,11.0,12.0
ASPI,2006,Shield,0.45,0.45,0.45,0.0,3.0,11.5,14.5
ASPI,2006,Lore,0.0,0.45,0.45,0.0,2.0,15.0,17.0
ASPI,2006,Stewards,0.0,0.0,0.0,0.0,0.0,14.5,14.5
ASPI,2006,Craft,0.0,0.45,0.0,0.0,1.0,14.0,15.0
ASPI,2006,Hands,0.0,0.0,0.0,0.0,0.0,12.5,12.5
ASPI,2006,Archive,0.0,0.0,0.0,0.0,0.0,12.5,12.5
ASPI,2006,Flow,0.0,0.45,0.0,0.0,1.0,11.5,12.5
ASPI,2007,Helm,0.45,0.0,0.0,0.0,1.0,11.0,12.0
ASPI,2007,Shield,0.45,0.45,0.45,0.0,3.0,10.5,13.5
ASPI,2007,Lore,0.0,0.45,0.45,0.0,2.0,15.5,17.5
ASPI,2007,Stewards,0.0,0.0,0.0,0.0,0.0,14.5,14.5
ASPI,2007,Craft,0.0,0.45,0.0,0.0,1.0,14.0,15.0
ASPI,2007,Hands,0.0,0.0,0.0,0.0,0.0,12.5,12.5
ASPI,2007,Archive,0.0,0.0,0.0,0.0,0.0,14.0,14.0
ASPI,2007,Flow,0.0,0.45,0.0,0.0,1.0,11.5,12.5
ASPI,2008,Helm,0.45,0.0,0.0,0.0,1.0,11.0,12.0
ASPI,2008,Shield,0.45,0.45,0.45,0.0,3.0,10.5,13.5
ASPI,2008,Lore,0.0,0.45,0.45,0.0,2.0,15.5,17.5
ASPI,2008,Stewards,0.0,0.0,0.0,0.0,0.0,11.5,11.5
ASPI,2008,Craft,0.0,0.45,0.0,0.0,1.0,15.0,16.0
ASPI,2008,Hands,0.0,0.0,0.0,0.0,0.0,11.5,11.5
ASPI,2008,Archive,0.0,0.0,0.0,0.0,0.0,14.0,14.0
ASPI,2008,Flow,0.0,0.45,0.0,0.0,1.0,11.5,12.5
ASPI,2009,Helm,0.45,0.0,0.0,0.0,1.0,13.5,14.5
ASPI,2009,Shield,0.45,0.45,0.45,0.0,3.0,11.5,14.5
ASPI,2009,Lore,0.0,0.45,0.45,0.0,2.0,15.5,17.5
ASPI,2009,Stewards,0.0,0.0,0.0,0.0,0.0,15.0,15.0
ASPI,2009,Craft,0.0,0.45,0.0,0.0,1.0,15.5,16.5
ASPI,2009,Hands,0.0,0.0,0.0,0.0,0.0,13.5,13.5
ASPI,2009,Archive,0.0,0.0,0.0,0.0,0.0,15.0,15.0
ASPI,2009,Flow,0.0,0.45,0.0,0.0,1.0,15.0,16.0
ASPI,2010,Helm,0.45,0.0,0.0,0.0,1.0,14.5,15.5
ASPI,2010,Shield,0.45,0.45,0.45,0.0,3.0,11.5,14.5
ASPI,2010,Lore,0.0,0.45,0.45,0.0,2.0,15.5,17.5
ASPI,2010,Stewards,0.45,0.0,0.0,0.0,1.0,14.0,15.0
ASPI,2010,Craft,0.0,0.45,0.0,0.0,1.0,15.5,16.5
ASPI,2010,Hands,0.0,0.0,0.0,0.0,0.0,14.0,14.0
ASPI,2010,Archive,0.0,0.0,0.0,0.0,0.0,15.0,15.0
ASPI,2010,Flow,0.0,0.45,0.0,0.0,1.0,15.0,16.0
ASPI,2011,Helm,0.45,0.0,0.0,0.0,1.0,14.5,15.5
ASPI,2011,Shield,0.45,0.45,0.45,0.0,3.0,11.5,14.5
ASPI,2011,Lore,0.0,0.45,0.45,0.0,2.0,15.5,17.5
ASPI,2011,Stewards,0.45,0.0,0.0,0.0,1.0,14.0,15.0
ASPI,2011,Craft,0.0,0.45,0.0,0.0,1.0,15.5,16.5
ASPI,2011,Hands,0.0,0.0,0.0,0.0,0.0,15.0,15.0
ASPI,2011,Archive,0.0,0.0,0.0,0.0,0.0,15.0,15.0
ASPI,2011,Flow,0.0,0.45,0.0,0.0,1.0,15.0,16.0
ASPI,2012,Helm,0.55,0.0,0.0,0.0,1.0,13.5,14.5
ASPI,2012,Shield,0.45,0.45,0.45,0.0,3.0,14.0,17.0
ASPI,2012,Lore,0.0,0.45,0.45,0.0,2.0,17.0,19.0
ASPI,2012,Stewards,0.45,0.0,0.0,0.0,1.0,14.0,15.0
ASPI,2012,Craft,0.0,0.45,0.0,0.0,1.0,15.5,16.5
ASPI,2012,Hands,0.0,0.45,0.0,0.0,1.0,15.0,16.0
ASPI,2012,Archive,0.0,0.0,0.0,0.0,0.0,15.5,15.5
ASPI,2012,Flow,0.0,0.45,0.0,0.0,1.0,15.0,16.0
ASPI,2013,Helm,0.45,0.0,0.0,0.0,1.0,14.5,15.5
ASPI,2013,Shield,0.45,0.45,0.45,0.0,3.0,14.0,17.0
ASPI,2013,Lore,0.0,0.45,0.45,0.0,2.0,18.0,20.0
ASPI,2013,Stewards,0.45,0.0,0.0,0.0,1.0,15.0,16.0
ASPI,2013,Craft,0.45,0.45,0.0,0.0,2.0,16.5,18.5
ASPI,2013,Hands,0.0,0.45,0.0,0.0,1.0,15.0,16.0
ASPI,2013,Archive,0.0,0.0,0.0,0.0,0.0,15.5,15.5
ASPI,2013,Flow,0.0,0.55,0.0,0.0,1.0,15.0,16.0
ASPI,2014,Helm,0.45,0.0,0.0,0.0,1.0,17.0,18.0
ASPI,2014,Shield,0.45,0.45,0.45,0.0,3.0,14.0,17.0
ASPI,2014,Lore,0.0,0.45,0.45,0.0,2.0,18.0,20.0
ASPI,2014,Stewards,0.45,0.0,0.0,0.0,1.0,15.0,16.0
ASPI,2014,Craft,0.45,0.45,0.0,0.0,2.0,18.0,20.0
ASPI,2014,Hands,0.0,0.45,0.0,0.0,1.0,15.5,16.5
ASPI,2014,Archive,0.0,0.0,0.0,0.0,0.0,17.5,17.5
ASPI,2014,Flow,0.0,0.55,0.0,0.0,1.0,16.5,17.5
ASPI,2015,Helm,0.45,0.0,0.0,0.0,1.0,17.0,18.0
ASPI,2015,Shield,0.45,0.45,0.45,0.0,3.0,14.0,17.0
ASPI,2015,Lore,0.0,0.45,0.45,0.0,2.0,18.0,20.0
ASPI,2015,Stewards,0.45,0.0,0.0,0.0,1.0,15.5,16.5
ASPI,2015,Craft,0.45,0.45,0.0,0.0,2.0,18.0,20.0
ASPI,2015,Hands,0.0,0.45,0.0,0.0,1.0,15.5,16.5
ASPI,2015,Archive,0.0,0.0,0.0,0.0,0.0,17.5,17.5
ASPI,2015,Flow,0.0,0.55,0.0,0.0,1.0,16.5,17.5
ASPI,2016,Helm,0.45,0.0,0.0,0.0,1.0,17.0,18.0
ASPI,2016,Shield,0.45,0.45,0.45,0.0,3.0,14.0,17.0
ASPI,2016,Lore,0.0,0.45,0.45,0.0,2.0,18.0,20.0
ASPI,2016,Stewards,0.45,0.0,0.0,0.0,1.0,15.5,16.5
ASPI,2016,Craft,0.45,0.45,0.0,0.0,2.0,18.0,20.0
ASPI,2016,Hands,0.0,0.45,0.0,0.0,1.0,16.5,17.5
ASPI,2016,Archive,0.0,0.0,0.0,0.0,0.0,18.0,18.0
ASPI,2016,Flow,0.0,0.55,0.0,0.0,1.0,17.5,18.5
ASPI,2017,Helm,0.45,0.0,0.0,0.0,1.0,17.0,18.0
ASPI,2017,Shield,0.45,0.45,0.45,0.0,3.0,13.0,16.0
ASPI,2017,Lore,0.0,0.45,0.45,0.0,2.0,18.0,20.0
ASPI,2017,Stewards,0.45,0.0,0.0,0.0,1.0,14.5,15.5
ASPI,2017,Craft,0.45,0.45,0.0,0.0,2.0,18.0,20.0
ASPI,2017,Hands,0.0,0.45,0.0,0.0,1.0,16.5,17.5
ASPI,2017,Archive,0.0,0.0,0.0,0.0,0.0,18.0,18.0
