Society,Driver,Responder,CR,CR_pos_frac,n_events,threshold_sigma,lag
ASPI,Helm,Shield,-0.12,0.2,5,1.0,1
ASPI,Helm,Lore,-0.12,0.0,5,1.0,1
ASPI,Helm,Stewards,0.0,0.4,5,1.0,1
ASPI,Helm,Craft,-0.46,0.2,5,1.0,1
ASPI,Helm,Hands,0.1,0.2,5,1.0,1
ASPI,Helm,Archive,0.12,0.2,5,1.0,1
ASPI,Helm,Flow,-0.46,0.2,5,1.0,1
ASPI,Shield,Helm,0.6,0.75,4,1.0,1
ASPI,Shield,Lore,0.25,0.25,4,1.0,1
ASPI,Shield,Stewards,0.75,0.5,4,1.0,1
ASPI,Shield,Craft,-0.325,0.25,4,1.0,1
ASPI,Shield,Hands,0.0,0.0,4,1.0,1
ASPI,Shield,Archive,-0.25,0.0,4,1.0,1
ASPI,Shield,Flow,0.3,0.5,4,1.0,1
ASPI,Lore,Helm,0.45,0.333,6,1.0,1
ASPI,Lore,Shield,-0.3333,0.167,6,1.0,1
ASPI,Lore,Stewards,-0.0833,0.167,6,1.0,1
ASPI,Lore,Craft,0.7833,0.5,6,1.0,1
ASPI,Lore,Hands,0.0833,0.167,6,1.0,1
ASPI,Lore,Archive,0.4167,0.333,6,1.0,1
ASPI,Lore,Flow,0.2833,0.333,6,1.0,1
ASPI,Stewards,Helm,0.0,0.5,4,1.0,1
ASPI,Stewards,Shield,0.1,0.5,4,1.0,1
ASPI,Stewards,Lore,-0.15,0.0,4,1.0,1
ASPI,Stewards,Craft,0.175,0.5,4,1.0,1
ASPI,Stewards,Hands,0.625,0.5,4,1.0,1
ASPI,Stewards,Archive,0.4,0.5,4,1.0,1
ASPI,Stewards,Flow,0.925,0.5,4,1.0,1
ASPI,Craft,Helm,0.7143,0.429,7,1.0,1
ASPI,Craft,Shield,-0.1429,0.286,7,1.0,1
ASPI,Craft,Lore,0.0714,0.286,7,1.0,1
ASPI,Craft,Stewards,0.3571,0.286,7,1.0,1
ASPI,Craft,Hands,0.5,0.429,7,1.0,1
ASPI,Craft,Archive,0.7857,0.714,7,1.0,1
ASPI,Craft,Flow,1.0,0.429,7,1.0,1
ASPI,Hands,Helm,0.2167,0.333,6,1.0,1
ASPI,Hands,Shield,0.0833,0.333,6,1.0,1
ASPI,Hands,Lore,0.4167,0.333,6,1.0,1
ASPI,Hands,Stewards,0.1333,0.167,6,1.0,1
ASPI,Hands,Craft,0.4167,0.333,6,1.0,1
ASPI,Hands,Archive,0.0833,0.333,6,1.0,1
ASPI,Hands,Flow,0.5833,0.167,6,1.0,1
ASPI,Archive,Helm,-0.2,0.25,4,1.0,1
ASPI,Archive,Shield,-0.5,0.0,4,1.0,1
ASPI,Archive,Lore,0.0,0.0,4,1.0,1
ASPI,Archive,Stewards,-1.0,0.25,4,1.0,1
ASPI,Archive,Craft,-0.375,0.25,4,1.0,1
ASPI,Archive,Hands,-0.25,0.0,4,1.0,1
ASPI,Archive,Flow,-0.625,0.0,4,1.0,1
ASPI,Flow,Helm,-0.3,0.4,5,1.0,1
ASPI,Flow,Shield,0.08,0.4,5,1.0,1
ASPI,Flow,Lore,-0.12,0.2,5,1.0,1
ASPI,Flow,Stewards,-0.1,0.2,5,1.0,1
ASPI,Flow,Craft,0.44,0.4,5,1.0,1
ASPI,Flow,Hands,0.1,0.2,5,1.0,1
ASPI,Flow,Archive,0.32,0.4,5,1.0,1
Cuba,Helm,Shield,0.3143,0.143,7,1.0,1
Cuba,Helm,Lore,0.4143,0.429,7,1.0,1
Cuba,Helm,Stewards,0.4286,0.429,7,1.0,1
Cuba,Helm,Craft,0.1429,0.429,7,1.0,1
Cuba,Helm,Hands,0.2429,0.571,7,1.0,1
Cuba,Helm,Archive,0.2857,0.429,7,1.0,1
Cuba,Helm,Flow,0.6,0.429,7,1.0,1
Cuba,Shield,Helm,-0.2,0.0,5,1.0,1
Cuba,Shield,Lore,0.0,0.2,5,1.0,1
Cuba,Shield,Stewards,0.0,0.0,5,1.0,1
Cuba,Shield,Craft,0.2,0.2,5,1.0,1
Cuba,Shield,Hands,0.4,0.4,5,1.0,1
Cuba,Shield,Archive,0.0,0.0,5,1.0,1
Cuba,Shield,Flow,-0.3,0.0,5,1.0,1
Cuba,Lore,Helm,-0.125,0.333,12,1.0,1
Cuba,Lore,Shield,-0.0667,0.167,12,1.0,1
Cuba,Lore,Stewards,0.5417,0.167,12,1.0,1
Cuba,Lore,Craft,0.7667,0.333,12,1.0,1
Cuba,Lore,Hands,0.475,0.417,12,1.0,1
Cuba,Lore,Archive,0.1667,0.25,12,1.0,1
Cuba,Lore,Flow,0.75,0.25,12,1.0,1
Cuba,Stewards,Helm,-0.32,0.3,10,1.0,1
Cuba,Stewards,Shield,-0.22,0.0,10,1.0,1
Cuba,Stewards,Lore,-0.49,0.2,10,1.0,1
