Year,eta_soil,sigma_V,path_type
2000,0.31586,2.4759,Greenhouse Garden
2001,0.29492,2.6368,Greenhouse Garden
2002,0.30152,2.488,Greenhouse Garden
2003,0.21395,2.8768,Greenhouse Garden
2004,0.20702,3.0064,Greenhouse Garden
2005,0.16906,3.585,Greenhouse Garden
2006,0.15626,3.2818,Greenhouse Garden
2007,0.08615,3.4727,Intermediate/Uncertain
2008,0.00453,5.1176,Ruptured
2009,0.00425,4.5126,Ruptured
2010,0.00866,4.1653,Failed Transplant
2011,0.02235,3.0982,Standard Transplant
2012,0.03112,2.7688,Standard Transplant
2013,0.11656,1.7957,Young Ancient Forest
2014,0.17768,1.8773,Deep Ancient Forest
2015,0.19008,1.7887,Deep Ancient Forest
2016,0.0814,2.5507,Intermediate/Uncertain
2017,0.19933,2.5762,Greenhouse Garden
2018,0.22152,2.3127,Greenhouse Garden
2019,0.22152,2.3127,Greenhouse Garden
2020,0.01495,2.8652,Standard Transplant
2021,0.03977,2.3532,Standard Transplant
2022,0.04504,2.515,Standard Transplant
2023,0.07769,1.9772,Intermediate/Uncertain
2024,0.11357,2.4153,Intermediate/Uncertain
2025,0.14065,2.1863,Intermediate/Uncertain
2026,0.14065,2.1863,Intermediate/Uncertain
