Society,Year,B_sym_mat,B_mat_mat,B_sym_sym,B_dir_mat,B_grooming_gap,B_dir_mat_proxy
Afghanistan,1900,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1901,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1902,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1903,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1904,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1905,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1906,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1907,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1908,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1909,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1910,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1911,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1912,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1913,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1914,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1915,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1916,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1917,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1918,0.16566109112404107,0.12716268124698513,0.20946538709324902,0.16246427956597526,0.04380429596920796,0.16246427956597526
Afghanistan,1919,0.13741267098884682,0.11604626716597477,0.1572920002002383,0.13790984637357115,0.01987932921139149,0.13790984637357115
Afghanistan,1920,0.13741267098884682,0.11604626716597477,0.1572920002002383,0.13790984637357115,0.01987932921139149,0.13790984637357115
Afghanistan,1921,0.16931578668395433,0.14178843078019918,0.19792618661593414,0.16950399593261922,0.028610399931979807,0.16950399593261922
Afghanistan,1922,0.22022326980279816,0.18334018467831828,0.259891252784363,0.22480338501613717,0.03966798298156482,0.22480338501613717
Afghanistan,1923,0.22022326980279816,0.18334018467831828,0.259891252784363,0.22480338501613717,0.03966798298156482,0.22480338501613717
Afghanistan,1924,0.22022326980279816,0.18334018467831828,0.259891252784363,0.22480338501613717,0.03966798298156482,0.22480338501613717
Afghanistan,1925,0.22022326980279816,0.18334018467831828,0.259891252784363,0.22480338501613717,0.03966798298156482,0.22480338501613717
